,factor_2
TIGIT,0.5878116
RGS1,0.58138984
CTLA4,0.5782528
FOXP3,0.57387537
TMEM173,0.557462
SESN3,0.5468064
ICOS,0.541783
IPCEF1,0.540446
DUSP16,0.5192915
LIMA1,0.51679677
ZC2HC1A,0.50787014
SMCHD1,0.5050952
ZC3H12D,0.4917924
PIM2,0.49068806
CCR6,0.4906872
CLK1,0.4898591
AP3M2,0.4880278
LRRC32,0.48507127
CCR4,0.48436952
CDKN1B,0.48321775
BATF,0.48159578
TSC22D3,0.48134166
LINC01943,0.48048005
HBP1,0.47960627
KDM7A,0.47904563
ASB2,0.4788929
CREM,0.47590533
CD4,0.4751599
TCP11L2,0.47495636
IL1R1,0.47327623
GALM,0.4727075
IL6R,0.4723508
GOLGB1,0.47142145
ZC3H7A,0.47130188
ARRDC3,0.47083217
IL1R2,0.46998754
PNRC1,0.4699683
AC048341.1,0.46988
PPP1CB,0.4698481
TP53INP1,0.4690356
CDCA7,0.4676016
LINC00861,0.4658814
JUN,0.46565306
RDX,0.46534353
ZBTB20,0.4650896
RCHY1,0.46437514
KLHL24,0.46345857
AC017002.3,0.4627156
ITM2A,0.46260187
PPP1R15A,0.4622488
HACL1,0.46206596
PBXIP1,0.46032417
TNIK,0.4599489
TIFA,0.45955178
ITM2C,0.45935932
NMRK1,0.45924675
ZNF292,0.45718563
MAF,0.4571827
PIK3IP1,0.4571669
HELLS,0.45643583
KLF2,0.4559904
HMGB2,0.45598757
AC090152.1,0.45577198
SPATS2L,0.45486212
TSHZ2,0.45449892
KIAA0040,0.45337647
PDCD4,0.4532734
MIR4435-2HG,0.4532306
EED,0.4530042
LINC00649,0.4524911
MEF2D,0.45101404
ATF4,0.45100823
NFKBIZ,0.45099023
CXCR4,0.44991717
ENTPD1,0.4496315
CCNG2,0.44957587
GPR155,0.44949415
DIAPH2,0.44907236
MMP19,0.44841444
BROX,0.4484083
FAM110A,0.44824573
GPCPD1,0.44755527
ZBTB32,0.44734538
CCL20,0.44723716
SYTL3,0.4471428
AC044849.1,0.44649637
HELB,0.44620156
HS3ST3B1,0.4458442
OCSTAMP,0.4457097
FAS,0.4449307
ZFP36L2,0.4448015
ZNF44,0.44423637
SLAMF1,0.44376856
TMCC3,0.4434696
TM4SF19,0.44339943
GLCCI1,0.44332644
USP28,0.4432954
OPTN,0.44314545
ZC3H12A,0.44314367
YPEL5,0.44277662
