,score
CD8a,8.199129809916656
CD8,7.668956374260063
CD73,6.2407395961689645
CD314,5.934403637424111
CD31,5.822013148791882
CD55,5.6922587306811465
CD27,5.538715332848653
CD127,5.497731967469065
CD45RB,5.492001606517022
CD45RA,5.051100698983248
CD49d,3.795891701422647
CD135,3.7776930337819294
TSLPR,3.7037159740050356
CD61,3.6664719050874623
integrin_7,3.6582002437169194
CD155(PVR),3.6359183125688332
CD301,3.623624443053359
TCR_V_24-J_18,3.60592434456737
CD271,3.604437274203235
IgM,3.5738113087427905
TIGIT,3.5732388774910646
CD309,3.567198864075351
CD171,3.5216646682629857
CD46,3.4729529131245727
CD267,3.4723694621245045
CD1d,3.4707751725873095
CD223,3.4550282500372305
CD177,3.446059068379725
CD169,3.4458324189611176
CD207,3.433136477546668
CD284,3.427971789546575
CD184,3.4225846217623825
CD117(c-kit),3.4110621346308676
CD49a,3.4107202246012207
CD36,3.39897734250286
Folate_Receptor,3.393362036144879
CD66b,3.3638800396947772
CD79b,3.3484294590257946
CD80,3.341169231854451
CD195,3.34035555746334
CD20,3.306356953348086
CD11a/CD18,3.3056391805506564
XCR1,3.279661464073399
CD34,3.2696918679650366
CD307d,3.269137008744451
CD41,3.268301592687692
CD206,3.2516695162977953
CD319,3.2372461548729348
CD161,3.228523279482431
CD186,3.202720687654505
B7-H4,3.1893489676187414
CD133-2,3.1872197735403915
CD115,3.1838486240407633
CD1a,3.165648467244864
CD24,3.1584933744293266
CD112(Nectin-2),3.153021622630831
CD90(Thy1),3.146226011876081
CD269(BCMA),3.143628329577666
TIM-4,3.14012017780135
GP130,3.127443893235295
CD85g,3.125781102559756
CD273,3.0963881575895016
CD324,3.0935370210792144
CD307c/FcRL3,3.083972773011226
CD1c,3.071603254412537
CD3-2,3.0686714056914184
CD42b,3.0614409616237026
Galectin-9,3.0466441200793497
CD294,3.040241646292486
Siglec-8,3.0160205372671953
CD30,2.9987802899012195
CD40,2.9844519365769315
CD144,2.980545584705112
Cadherin11,2.980505675346251
CD103,2.9688732885623494
CD15,2.9650416922806357
CD126,2.957954802772406
CD203c,2.944905633748931
CD96,2.9437985957870865
CD138-2,2.92416187176309
CD146,2.923123463079719
CD3-1,2.912872416642074
CD275-2,2.908215232727798
CD235a,2.9019146171553416
CD140b,2.8934002234902323
CD163,2.8927098511481404
Podoplanin,2.887340255395088
CD204,2.886246619829876
CD164,2.8734410765940765
CD235ab,2.847156296318417
CD202b,2.800704082203822
CCR10,2.791100966168642
CLEC1B,2.780734614269818
C5L2,2.7677920687573305
CD133-1,2.745039266740889
CD192,2.7349803213216433
CD338,2.725114386668082
CD62E,2.724573509252025
CX3CR1,2.718684198340668
CD370,2.68690678050325
CD124,2.681771913197508
CD357,2.6751034762952486
CD152,2.6357230653544548
CD49b,2.63517773672703
CD193,2.6200476222530824
CD340,2.6146771034800906
CD70,2.5947057750382783
CD110,2.5890833207354262
LOX-1,2.584031567265356
CD178,2.5656728734969363
CD79a,2.5028828897389417
CD158,2.501709225284685
CD83,2.49691995330582
CD154,2.4867059868321917
CD201,2.4835758223424023
Notch3,2.4641360463843966
CD243,2.4568176618059
MERTK,2.421417653034794
CD196,2.4085366573886517
CD158e1,2.401365041689232
CD138-1(Syndecan-1),2.392487585252269
CD199,2.3620110132024763
CD303,2.356812341318289
VEGFR3,2.3457579812597658
CD140a,2.309774982039599
CD66a/c/e,2.2645112270344043
CD68,2.254585460992388
CD62P,2.2245604696591386
CD252,2.2119014592931876
CD325,2.205391585259278
CD275-1,2.092470507772404
CD270,2.076308519069073
CD45-1,1.5400510804318799
