,score
ETS2,2.967004057752888
MYB,2.9210751805444772
TNIP3,2.9055136856209742
IFT57,2.899482663134137
RGCC,2.843987543538816
FOXP3,2.838544767022057
NPW,2.731105413403128
PTGIR,2.7183099539021782
CHI3L2,2.7182700064394965
B3GAT2,2.7131716136042883
GPR183,2.7126353254451487
CD38,2.711934286639263
CTLA4,2.7037479288293014
MT1E,2.6889992211693823
CD109,2.6818065891304457
AC093635.1,2.680518870921645
F5,2.674728838683535
AL355922.2,2.672947912912605
SPRED1,2.6625764550034035
PTGDS,2.6338537071461587
STMN1,2.630936759086808
ADTRP,2.6235908645603274
ZNF788P,2.6229558826698565
THAP9,2.616273429337326
MALINC1,2.6124854699347964
SPRY1,2.6090460717262545
AC093495.1,2.6050654245625537
AL391097.1,2.60102342018493
DYNC2H1,2.5996017604836084
CD34,2.5956211133199076
ANKRD18A,2.5846149346147627
TLE3,2.57570456168051
SELP,2.574263580984166
MT1G,2.5742411268548153
OR4D9,2.5707181783975273
FOS,2.5523303352156574
TRAV36DV7,2.5521916940216443
ZRANB2-AS1,2.5514191153152694
CLEC4C,2.5459622396940347
MAP10,2.5421771523313055
MAOA,2.540977422978216
TPSAB1,2.5397951869584574
CHN1,2.5391774373067904
AC005944.1,2.5382633453666017
NKILA,2.536414273924038
AC010168.1,2.5353926110385885
FOSB,2.5349638938247097
ALG10B,2.5330404104418562
AL445524.1,2.530910140193356
IGFBP4,2.5306187587008537
RGL1,2.5295396550193914
AC062029.1,2.528555067556823
IGSF10,2.5276793565121523
AC131011.1,2.526218010442676
AL645728.1,2.5237222078559114
NRTN,2.5231728649704053
BEX3,2.5227723459654783
TRBV28,2.5222248307416635
BCL2L1,2.521716218602421
ITGAM,2.519907877906121
PSTPIP2,2.5198963897469184
SCML1,2.5193308590007177
TREM1,2.517093801090539
FADS2,2.5137408251705438
AHDC1,2.5130567575089344
INHBA,2.512635350941821
AC009831.1,2.5122894006931062
MAML3,2.512186007260283
CCDC15,2.512163292036405
AC092117.1,2.512039794324977
FRMPD3,2.5108108223848262
SLC6A20,2.5086716749223967
AC016727.1,2.507970897211038
SOX4,2.5076084980071016
MIR3142HG,2.5040270643756912
MAP1A,2.503204616614596
AC098850.3,2.5013826990028747
CEACAM8,2.500662861391021
URB1-AS1,2.499961039301553
SLC16A10,2.498162098008237
LYSMD1,2.4971775105456686
SPINK2,2.4968908287546583
PLEKHD1,2.4959239957199486
