,factor_4
IGHD,2.5051193
IGHM,2.505097
TCL1A,2.5048375
COBLL1,2.5048254
MS4A1,2.5047817
IGLC2,2.5047672
CD79A,2.50476
ARHGAP24,2.5047174
BANK1,2.5047085
AFF3,2.504707
LINC02397,2.5046368
ADAM28,2.5044615
BCL11A,2.5043612
IGLC3,2.5040896
PAX5,2.5039546
LINC01857,2.5039241
CD72,2.5038626
POU2AF1,2.5035677
MEF2C,2.503427
TNFRSF13C,2.5032854
IGHA1,2.5032754
RALGPS2,2.503259
CD19,2.503252
CD79B,2.503236
PLEKHG1,2.5028002
PKIG,2.5027146
FAM30A,2.502564
CD22,2.5025313
LINC00926,2.5025287
BLNK,2.5024135
IGKC,2.5021434
SPIB,2.5017643
IGHG3,2.50139
RAB30,2.5013022
EAF2,2.500538
TNFRSF13B,2.4999359
TCF4,2.4976947
HVCN1,2.496469
IGHG2,2.4963324
JCHAIN,2.4957926
FAM111B,2.4936647
CD24,2.4931908
STAP1,2.4918072
HDAC9,2.4913795
CXCR5,2.4726248
PPP1R14A,2.4653869
HHEX,2.4645305
PHACTR1,2.4557238
CXCL9,2.4490297
IGLC6,2.4389038
BTLA,2.4300275
ACSM3,2.4279363
CXCL10,2.414197
DHTKD1,2.4095552
IRF8,2.3793511
TEX9,2.3716388
CNR2,2.365015
CD200,2.363959
SNX29,2.3605094
CD37,2.3338022
MIR29B2CHG,2.3202813
TSPAN13,2.2940536
CD40,2.2907803
ID3,2.2787752
CCDC50,2.269248
KLK1,2.2438211
MZB1,2.2305014
PLCG2,2.22174
SIPA1L1,2.2064106
HLA-DMB,2.2040012
SMIM14,2.1978545
IGHE,2.1943166
CPNE5,2.1784918
COL19A1,2.1434066
TMEM154,2.141002
CCL17,2.129852
MTSS1,2.1294165
FCHSD2,2.110105
TSPAN33,2.1060114
IFI44L,2.0994823
ZNF107,2.0989628
SWAP70,2.092414
GGA2,2.0921435
GNG11,2.0880105
AC104024.1,2.086606
EPB41L2,2.0865679
ANKRD33B,2.075553
P2RY14,2.0732806
ATP10D,2.0563123
NEK8,2.04822
KDM4B,2.0473084
STAG3,2.0358205
CLECL1,2.0232568
LY9,2.0188107
BASP1,2.0111845
EBI3,1.9897269
AF117829.1,1.9883325
FADS3,1.9864335
UVRAG,1.9744223
ENTPD1,1.9724631
