"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"mSp_rep7_276",0,0.0160406217672997,0.00428102811047913,0,0.0421028175418727,0,0.00422752085521087,0,0,0.00415596550958162,0,0,0.000261576842028449,0,0.0149170389526874,0.0111478225723047,0.00583776590087179,0,0.000642731047782836,0.0118695000080981
"mSp_rep7_267",0.0105979402934598,0.00248860603298264,0.0073018058916762,0.00322215411089228,0.00346327034896002,0.00940299010336775,0,0.000911345955502183,8.03098787235155e-05,0.00240755907306547,0.00244929892213366,0,0,0.00151027085533344,0,0,0.00158506402771142,0.00102248081786084,0.0258353051486069,0
"mSp_rep7_270",0,0.01439694276658,0.00705819601555659,0.00141435716144335,0.0445051279038095,0.00202259893678431,0,0,0.000769537614752915,0,0.000628469053398384,0,0.00468261042455062,0,0.0112587435618099,0.0122182025571342,0.00292810303262918,0.00154028381174905,0.00144486494929209,0.00836194404490044
"mSp_rep7_291",0,0.000744395626978511,0.00510530076684234,0.00804136853376499,9.17851911259983e-05,0.0126447496794066,0.0116829342933056,0.00554338120658889,0.000806306048023788,0.00200278197525769,0,0,0.00489795152422748,0.00884316070633807,0.00198207367192397,0.00529829598623363,0.00196659895843918,0.000428360062287837,0.0257192381793058,0
"mSp_rep7_196",0.000116593102597973,0,0.0116749236173549,0,0.0486894003099926,0,0.0028765766941398,0.00585905601628458,0.000375661812976059,0,0,0,0.0110273968660037,0,0.0348578776569443,0.00141952680738457,0.00150473050041807,0,0,0
"mSp_rep7_347",0.0140612985208401,0.000252532095504141,0.00696921676695363,0,0,0.00721293449697591,0,0.00376356822573545,0,0.000168522888825517,0.00325107499748849,0,0.00967058070258678,0.000340286188958269,0,0.00652617961719873,0.00353667330649479,0.00244067773657662,0.0300365076947846,0.00411171241853621
"mSp_rep7_141",0.000205591525158616,0.00350098576533537,0.00529267871954314,0.000561508359750606,0,0,0.0946837909681146,0.00303170920127624,0.0369517725386026,0.00139721949604255,0,0,0.00195989253199055,0.000814394673997801,0,0.00696296998279491,0.00276859010986266,0.00942370761850059,0,0
"mSp_rep7_079",0,0,0.00898647387741519,0,0.0537390480198636,0,0.000294785527867219,0.00136192988216374,5.73209250161162e-06,0.00138218764733178,0,0.00263317240638317,0.000464611160031779,0.000646125486907381,0.0309111484283202,0.0138565544481265,0.00150459383696392,0.0044828643622085,0,0
"mSp_rep7_199",0,0,0.00601375745652247,0,0.00157233601331345,0.000894944893562096,0.103631960362629,0.00346477896817481,0.0340425399291544,0,0.00128969538944219,0,0.00285474103116125,0.00176579556157755,0,0.00348316280456135,0.00125039259295973,0.0137445458168465,0,0.00202843331375413
"mSp_rep7_082",0.00359855966275095,0,0.00976327346674438,2.29139269090272e-05,0.0466207129142331,0,0,0,0.000709512831375855,0,0,0,0,0.00270737702482722,0.0342321679351828,0.0139150405398588,0,0,0,0
