"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"mSp_rep7_276",0.000134764551600337,0.03164692091429,0,6.64350364334996e-05,0,0,0.00420004913623469,0,0,0.00480007402936593,0.000245327705947067,0,0,0,0.0129564046417024,0.00755443459428343,0.00782751116331695,0,2.80157546699988e-06,0.00138529661578987
"mSp_rep7_267",0.00640013443597205,0.00146876030716535,0.00127961994661305,0.00250569970620608,0.000294414496788967,0.0191040802485358,0,0,0,0.000292410237789347,0.0121396440940657,0,0,1.95453259722623e-05,0,0,0.00149220640637293,0,0,0
"mSp_rep7_270",0.000134764551600337,0.0292237757420868,0,0.002097662257505,0,0.00085472627681133,4.60688050630861e-05,0,0.000375028048729392,0,0.00199755181852721,0,0.00351931960783317,0,0.00772197194964101,0.0084981535411096,0.00239543116485336,0,4.52081185372231e-05,0
"mSp_rep7_291",0,0.00316589697326581,0.00304429906557037,0.0104864766722498,0,0.0190583397202303,0.00182166279654647,0.00160466326660506,0.00042056926535211,0.000142706040131559,0.00376418995955312,0,0.001204783285902,0.00664809724181375,0.000899242747445448,0.00156714666262885,0.00147328780584658,0,0,0
"mSp_rep7_196",0,0.00494309541622697,0.00132377553570553,6.76910758452667e-05,0,0,0.00228512558850981,0.00337457222435071,0.000131274593501321,0,9.29507245734415e-05,0,0.00966323651383605,0,0.0497398739531076,0,0,0,0,0
"mSp_rep7_347",0.0140612985208401,0.000252532095504141,0.00696921676695363,0,0,0.00721293449697591,0,0.00376356822573545,0,0.000168522888825517,0.00325107499748849,0,0.00967058070258678,0.000340286188958269,0,0.00652617961719873,0.00353667330649479,0.00244067773657662,0.0300365076947846,0.00411171241853621
"mSp_rep7_141",0,0.000542058341376393,0,0.000117238553110737,0,0,0.0108752450342695,0.00559115841943644,0.0742843870780438,0.000765100502899934,0,0,0.000625402472327456,0,0,0.0129796536635904,0,0,4.45661904297478e-05,0
"mSp_rep7_079",0,0.00494309541622697,0,6.76910758452667e-05,0.00108672505279325,0,0.00028800818228171,0,0,0.000897621910796996,9.29507245734415e-05,0.0040423415897706,0,0,0.0386041991431073,0.0137653596122368,0,0.00318027069792602,0,0
"mSp_rep7_199",0,0,0,0,0,0,0.0224413989885241,0.00633595804724808,0.0697954660829475,0,0.000258492738064276,0,0.00247124360381021,0.000846652302465763,0,0.000277844025412614,0,0.00327225244530903,4.45661904297478e-05,0.00340282410329391
"mSp_rep7_082",0.00375280974079486,0.00494309541622697,0.000110317730978254,0.000608178307928443,0,0,2.30053779225879e-06,0,0.000381590448969012,0,9.29507245734415e-05,0,0,0.000865823317058815,0.048092544059221,0.0139079329485609,0,0,0,0
"mSp_rep7_178",0.0119029155972363,0,0.00276638766483969,0.0051647439920469,0.00161798283272619,0.00671584454228528,0.00337647005438604,0,4.90193382582246e-05,0.000653027326445918,0.00445191155714142,0,0.0164542944307256,5.00253640412113e-05,0.00349510212362544,0.00186202445040286,0.000168105764147455,6.98725576937914e-06,0.0276439417906744,0.000114171851602093
"mSp_rep7_374",0.00205373267242535,0.0319305415092033,0,6.64350364334996e-05,0,0.00123280552003933,0.00357802694595994,0,0,0,0.000245327705947067,0,0,0,0.00502101107160984,0,0,2.39607825613054e-05,0,0.000326813911238851
"mSp_rep7_098",0.0135090441054561,0.0023836368851688,0.00199194564737593,0.000422734025566158,0,0.00982562107964654,0,0.00510635724004182,0.00111470224631558,0,0.00376418995955312,0,0,0,0,0,0,0,0,0
"mSp_rep7_310",0,0.000360911882700795,0.00180069241658078,0,0,0.000149025625024401,0,0.0341305524107883,0.000308130437698009,0,0.000126246065582204,0,0.000222920075634769,0.00424659817372215,0,0,0.00027821015577627,0,0.000510978096362993,0.00110738006220037
"mSp_rep7_327",0,0.000481243665802393,0,0.0177937374869634,0,0.00590882585946101,0,0,0,0,0.00376418995955312,0,0.00456068488730213,0,0.00313542465175167,0,0,0,0.00831412481465361,0
"mSp_rep7_144",0.00460042011376026,0.00494309541622697,0,0.00549031546732342,0,0,0.00125053432725722,7.67703451368738e-05,0,0,9.29507245734415e-05,0,0,0,0.0220317786202205,0.00438194381261486,0.00666447326128347,0.00366228558604636,0.000229049274340233,0.00813886497356349
"mSp_rep7_169",0.00118093401104383,0,0,0.00116807615244762,0,0,0,0.00310969277853861,0.0747994985038127,0,0,0,0,0.00289576975596123,0,8.30256299580201e-06,0,0.000526646506785263,4.45661904297478e-05,0.0103068917324714
"mSp_rep7_264",0.000134764551600337,0.0257326359743849,0.000932877677204273,0.00254529692046486,0.00089155669834204,0,4.60688050630861e-05,0,0,0.00153199253787431,0.00227879912810937,0.00381669322698931,0,0,0.0050160400317782,0.00147766106989751,0.00227771992725158,0.000443192599097939,0,0
"mSp_rep7_294",0.0156368904997581,0.00162033037563098,0,0.00219164381520997,0,0,2.66131199745916e-05,0,0.00105647769785699,0.00184398384927296,0.0179234877345829,0.000142132919450356,0.00235006773545919,0.000488078667464845,0,9.0575580200295e-07,0.00123739076783181,0.000174074933267692,0.000247450280624806,0.00246930264930637
"mSp_rep7_072",0.000347544666187432,0.000360911882700795,0.00298265433045116,0.00545509093511536,0,0.000149025625024401,0.00537989201948907,0.0591910157353083,0.000308130437698009,0,0.000126246065582204,0,0.00150649735397624,0.0466967668407835,0.000570635010912735,0.031992405922205,0.000844889659666306,0,0,1.33772835232015e-07
"mSp_rep7_084",0.00081089564067784,0.0213861932741583,0.00326898185359134,2.8185933585055e-05,0,0.00251245695154852,0,0,0,0,0.000196805825889046,0.0190762498693979,0,0.00814852434856808,0.00114002511087892,0,0.00294561953635574,0,0,0.0322830984498889
"mSp_rep7_044",0,0.000481243665802393,0,0.019425382986395,0,0.00506729099229148,0.00295048679793566,0.00161565046716298,0.00654569705602412,0,0.00376418995955312,0.00101273802818651,0.00392780255821464,0.000860336713640209,0,0.00129631944929671,0,0.00160675001535097,0,0
"mSp_rep7_289",0.0136705506943976,0.000468287522123972,0.00099601024773965,0,0,0.000950261224674126,2.66131199745916e-05,0.00169570754606087,0,0.000337992778765677,0.0148962756790777,0,1.22696135882789e-06,0.000931873084375419,0,0.00217935494154494,0.00331485648474563,0,8.39911948792426e-06,0.0018797125371335
"mSp_rep7_195",0.0170222005806145,2.20216934738438e-05,0.00290855490671207,0.000284983645423218,0,0,2.66131199745916e-05,0,0,0.00049686454125425,0.0186089287983071,0.00102845948591807,1.22696135882789e-06,0,0,6.48629452312813e-05,0,0,0.000478697992305339,0
"mSp_rep7_171",0.00215852990218795,0.000481243665802393,0,0.0113086508403773,0,0.00693136851905269,0,0,0,0.00420636837077984,0.00376418995955312,0.000783712014200037,0,0,0.00280978819643414,0,0.00129817300466875,0.000834465792803184,0.000115523998800395,0
"mSp_rep7_202",0.00428034442188981,0.0350332171349707,0.00274532400611503,0.002246355182149,0,0,4.60688050630861e-05,0,0.000325301115620895,0,0.000245327705947067,0,0,0,0.00258065132370236,0,0,0,0,0.00054920044838838
"mSp_rep7_099",0.0322870934794162,0.000286465263773639,0,0,0,0.000157541435968306,0,0,0.000298610729125403,0,0.00604186989373802,0.00102874694289225,0,0.000202385464890223,0,0.00103621286985409,0.00341692667193914,0,2.56935393325904e-05,0.00272983266710959
"mSp_rep7_003",0.0228269843190171,0.00108426670305824,0,0.00163816540771189,0,0.0112097983032601,0.000188773300624606,0,0,0.00056756513502668,0.0108989829541533,0,0.00539312367300167,0.0001638272196784,0.00307544607866316,0,0,0,3.07980518782087e-06,0.00185055806309028
"mSp_rep7_066",0.00307680399333305,2.20216934738438e-05,0,0.00597462808554643,0.000166067747194562,0.00664116527314992,2.66131199745916e-05,0,0,0.00143265831951012,0.0147625466352171,0.0013277295927464,1.22696135882789e-06,0,0,0.00269375584624701,0.000125111447313175,0,0,0.00391634534953221
"mSp_rep7_316",0.000134764551600337,0.0274135195838023,0.00667685637629622,0.00544441019614204,0,0,4.60688050630861e-05,6.99441580954697e-06,0,0,0.000245327705947067,0.000910312610189985,0,0,0.00711188944640776,0,0,0,0,0.00415930926521842
