"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"mSp_rep7_276",0.000292718974455454,0,0.00336848179334744,0.00147946707604064,0.00459697993452772,0.00319936698471462,0.00486869550695838,0,0.000341660851341523,0.00766326614024444,0,0,0,0,0.00133958683843549,0,0,0.00121336474768814,0.0057130172263454,0,0.0140503790372432,0,0,0.0244802400817532,8.9393403130341e-05,0.000411715086686387,0.00286658838740906,0.00466499952875804,0,0.0263790332152877
"mSp_rep7_267",0.011204763640285,0,0.00152889379608106,0.00104355350665954,0,0,0.000158732822846478,0.000124816921109632,0.00264450582385647,0,0,0.00142769925662127,0,0.000838036239934807,0.000477650258519228,0.00139356629549182,0,0.0038262777346574,0,0.00551867780684589,0.00123058815016175,0.000367788023712842,0.000645912155001232,0.0172623324199151,0.00974258491753207,0.0155154209841616,0.00651759417873886,0,0.000901382850851751,3.34043121484574e-05
"mSp_rep7_270",0.00134175036982642,0,0,0,0.0070621735697307,0,0.00692720114455488,0,0.0023797871129751,0.00798126579998241,0.00136957719282251,0.00114807454919934,0,0,0.00460870178057254,0.00128199919564056,0,0,0,0.00224799019378967,0.0128208119981304,0,0,0.024962255996431,0,0.000623351442382076,0.00383835689970957,0.0043980770210227,0,0.02296555187573
"mSp_rep7_291",0.0118052914447136,0.00494125698054507,0.00128076059202304,0.00090570022935424,0.00164517345425043,0.00238913438166327,0,0.00250309858335784,0,0.00344993312982377,0.00158486263624745,0.000649148592409725,0.0137689517833666,0.0083540008891469,0.00470309601654097,0.00801607560916723,0,0,0,0.0103717039158458,0.0011579920566082,0,0.000564176578125624,0.00387944161712494,0,0.01794288811597,0.00165537002237089,0.00171682566960692,0,0.00176394798536504
"mSp_rep7_196",0,0.00660424530182392,0,0.00816840800454399,0.00707517779758161,0.000973693931595059,0,0.000199542363025535,0,0.00136925176450356,0,0,0,0.000284710833786705,0.00307836655121819,0.00447529411724254,0,0,0,0,0,0,0.00096232550670148,0.0330524605585348,0,0,0.00173049502113243,0.00317855090741237,0,0.0289546701730192
"mSp_rep7_347",0.00988071994913449,0.00441950134254417,0.000360727849606045,0,0.000501271984746241,0,0.00197359568351297,0.00299303797031822,0.00285012774886372,0.00357652886482924,0,0.00226106521492983,0,0.000310493967353502,0.00150712144940028,0.00532196583453544,0.00110616832661089,0.00539976459057975,0,0,0,0,0,0.0143533483795722,0,0.020702908763363,0.00360905332264132,0.00514493394040385,0,0
"mSp_rep7_141",0,0.0046330381832258,0.00244065690530071,0.000492195813710163,0,0.0490482664528048,0,0.00148350945050004,0,0.00383201654499247,0.0239124384352038,0.00629303625222066,0.00649646081801688,0.0044501274234524,0,0.000753200210452599,0,0,0,0.00154868292511972,0.00260480304913533,0,0.0160435325536263,0,0,0,0.00410502282302242,0,0,0
"mSp_rep7_079",0,0.00140503722409931,0.000415843996756126,0.00498573403459607,0.00731202392191569,0,0,0,0,0.00952356774836962,0,0.00440834938492582,0.00389228122071388,0,0.0040119724357519,0.002887218592031,0,0,0,0,0.000458724025110992,0.00200204161586454,0.000516769162278434,0.0273359760490454,0,0,0.00305201387510896,0.00912217799898117,0,0.0325019201702066
"mSp_rep7_199",0,0,0,0,0,0.0564750140660709,0.00167170617284859,0,0.00106805473206577,0.00174426491856286,0.0232600845051001,0.010105212561955,0.00235859031953941,0.00246922077464095,0,0.00246857369860808,0,0,0,0.00189382404750696,0,0,0.00989493728735298,0,0.0167281645315027,0,0.00286264098147215,0.000332841317666639,0,0.00115001778291164
"mSp_rep7_082",0,0,0,0.0059607065782871,0.00925381818580762,0,0,0,0,0.00963059676738911,0.000854641645961331,0,0,0.00248639487381889,0.0035254837800957,0.002823210364334,0.0018262974021728,0,8.50463805070592e-05,0.00154889833513031,0.00143447484058503,0,0.0007646143262546,0.0181595540755173,0.00105264556609028,0,0.00529926910608783,0.00569642761093308,0,0.0320864641749226
