"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"mSp_rep7_276",0,0,0.00321598056294104,0.0154825881824009,0.00139672810667568,0.00748966403342306,0,0,0.000410161083982748,0.00434432443284152,0,0,0,0,0,0,7.00689064362572e-05,0.00289493277074492,0.00103325909372882,2.69650415322936e-06,0.0191622128349522,0,0,0,0,0,0,0.00200518507512088,1.58991453048839e-05,0
"mSp_rep7_267",0.00373127756774771,0.00218970234549179,0.00622454673727124,0,0,0,0,0.00146568524464023,0.000261766531616948,0,4.38881211155624e-06,0.0042997696659523,0,0.0143023161859671,0.0022213423434999,0,0,0.000823819349941146,0,0,0.00367349839221828,0.000807857655883493,0.00025055188969292,0.000312366181855588,0.0697389784367972,0,0.00276700393975263,0.000301538306496296,0.00154680044037029,0
"mSp_rep7_270",0,0,0,0.00850011328489029,0.00451036105840477,1.0660199511497e-05,0.000418235651428518,0,0.00346116913051896,0.00474642675561503,0.000568234008703519,0,0,0,0.0016591340416757,0,7.00689064362572e-05,0.000243060683191736,0,0.00260111597351924,0.0173752869476285,0,0,2.04929835709278e-05,0,0,0.00089820834081073,0.00187771660588149,1.58991453048839e-05,0
"mSp_rep7_291",0.0114854355430908,0.00214348279938421,0,0.000798364137403714,0.000142548915855539,0,0,0.00409631867844456,0.000616154041874113,0.00152064083458802,0.000626437292881031,0,0.00853265997763318,0.0032348628234498,0.00415555121390862,0.00537408828385622,0.000746595294992879,0.00148426559419348,0,0.0191796812097452,0.00182982271503984,0,5.31803947052379e-06,0,0,0,0,0,0,0
"mSp_rep7_196",0,0.00342768778605237,0,0.0261014951594209,0.00532128244713923,0.00124794654650464,0,0.000226049424581765,0,0,0,0,0,0,0.00080550904759496,3.9816960341833e-05,3.35765703975083e-05,8.81341438735556e-06,0,2.41861893896444e-05,0,0,0.000430736850888318,0.000679435622295917,0,0,0,0.000484019603231874,2.72643553177132e-06,0.00104881447837639
"mSp_rep7_347",0.00601655000260348,0.00110911784084983,0,0,0.000412292217637117,1.0350283772057e-06,0.00191106011880929,0.00528380296156383,0.00846805016896573,0.00140685267962689,0,0,0,0,0.00124910028718464,0.00040149260686319,0.00316243809800371,0.0131663059575556,0,0,0,0,0,2.15660075092219e-05,0,0.00281614301022828,0,0.00201407867819571,0,0
"mSp_rep7_141",0,0.00693249755575964,0.00118427955289348,0,0,0.00390681083078718,0,0.0014804574182739,0,0.00889028190487984,0.0637195789597154,0,0,0.00158421928447638,0.000199765130720252,0,0,0,0,0,0.00149474190436199,0,0.0202384305473549,0,0,6.13610239512985e-06,0,0,0,0
"mSp_rep7_079",0,0,0,0.027207833312496,0.00649706509198193,2.9301685125061e-05,0,6.36321494297408e-05,0,0.00444905677288939,0,0.00222905294575587,0.0018655396043402,0,0.00139189377184158,0,0,0,0,0,0,0.00107349783009959,0,0,0,0,0,0.00564860928744662,6.53432804113179e-06,0.0110437153268867
"mSp_rep7_199",0,1.1537433240598e-06,0,0,0,0.0141829077355673,0.00252877020443056,0,8.62732421624243e-06,0.000155113730474221,0.0619754822547573,0.00280049040730164,0,0,0.000199765130720252,0.00148419367154999,0,0,0,0,0,0,0.010926580110924,0,0.0135668913217512,6.13610239512985e-06,0,0.000784025794110524,0,0
"mSp_rep7_082",0,0,0,0.0219978022775154,0.0114668932058677,7.076060779185e-06,0,0,0,0.00783457224079705,0.000391297392844757,0,0,0.000375421110900452,0.00110721964529909,0,0.00223506591911384,8.81341438735556e-06,0,0.00216401709986019,0.00148337743969499,0,0.000279730432091111,0,7.74437974109772e-05,0,0.000866511347542033,0.00265393545041063,2.72643553177132e-06,0.00497882924735051
"mSp_rep7_178",0.00583270556730519,0,0,1.88200525322304e-06,0.000804865403253881,0,0,0,0.00956742865677952,0,0,0,0,0,0,0,0.000746595294992879,0.0073429968761029,0,0.0166197751341488,2.8999356769031e-05,0,0,0.000199504377334183,0,0,0,0.000848476652328146,0,0
"mSp_rep7_374",1.52717334818793e-05,0,0,0.00850011328489029,0,0.00365512839149606,0,0,4.05481304291471e-06,0,0,0,0,0,0.000162424809001511,0,0.000843463318618199,0.000243060683191736,0.00294549090267176,0.00192354880310668,0.0182100830472636,0,0.00020732916237355,0,0.000885557654015867,0,0.00112590143468721,0.00424461695144055,1.58991453048839e-05,0.000831159650341758
