"","V1","V2","V3","V4","V5","V6","V7","V8"
"mSp_rep7_276",0.00108036806716497,0,0.00298242359282617,0.00573413427545961,0.0256095278980955,0.000307283690759879,0.0714789917442268,0
"mSp_rep7_267",0.00212969111017079,0.00117383689344911,0.0507497778833895,0,0.00306831203270514,0.000165914008726282,0.00342152428187858,0.0128664022849307
"mSp_rep7_270",0,0,0.00555852066281687,0.00110500365647265,0.0198581744478549,0.000286786405974488,0.0731803786708205,0.00172262439769784
"mSp_rep7_291",0.0164333423010512,0.0102905900213834,0.0570874437085412,0,0.00335290031785211,0.0051432563818641,0,0.00248815615041671
"mSp_rep7_196",0,0.00740003822069293,0,0,0.0175335635555728,0.000718121752253226,0.0793708265073138,0
"mSp_rep7_347",0.000499813770078563,0.00386671913518214,0.0566544453761142,0.00214799432779852,0,0,0.00506145034878975,0.0137783051819394
"mSp_rep7_141",0.0157253432919595,0.0225343190439748,0.0072594864247412,0,0.00485463583251798,0.122729190685704,0.00571568564061156,0
"mSp_rep7_079",0.00324947277222283,0.00124079486886957,0,0.00101648397716794,0.0174490194322227,4.50261471061288e-05,0.083411292764012,0
"mSp_rep7_199",0.0197392663495524,0.0225975803551498,0.00494842830598642,0,0,0.122229153734932,0.014596976075912,0.00224387767107102
"mSp_rep7_082",0.00333449655700664,0,0,0,0.0201597569903941,0.000374645040068623,0.0744641602064,0.000525541405811222
"mSp_rep7_178",0.0006467654941186,0,0.0533215043080173,0,0,0.00142186029975245,0.00641252762945196,0.0164120389355454
"mSp_rep7_374",0,0.00260152990303114,0,0.00770953258296648,0.0213746060879199,0.00232985977515195,0.0678381906684937,0.000193726797132933
"mSp_rep7_098",0.000635978642649093,0.0100270965544479,0.0512034764350432,0,0.000488023479657765,0.00546672095034534,0.00290348113773656,0.0109151047187022
"mSp_rep7_310",0.0145334501575766,0.0428352016615045,0.0303420398840581,0.000492067961927326,0,0.00890839920314843,0.0155302446543053,0
"mSp_rep7_327",0.00152014707300022,0.00603988870376684,0.0692318019680624,0,0.00500548101846528,0.001257469468105,0,0.000286692760199988
"mSp_rep7_144",5.56631909665941e-05,0.00569472858036923,0.0150732002020002,0.00229584882364177,0.00917085952669873,0,0.0633389028063902,0.000175518396127502
"mSp_rep7_169",0.0170787492358586,0.0210557922542276,0.00257330682121491,0,0,0.118474241935516,0.0162523563860846,0.00249025359507519
"mSp_rep7_264",0,0,0,0.00793446392833021,0.016143427195204,0,0.078164258981014,0.00299501993717818
"mSp_rep7_294",0.00166836057385124,0.000976050536569956,0.0570464813443542,0.00341903437464886,0.00177501536789499,0.00458090836859593,0,0.0151333289823735
"mSp_rep7_072",0.055116350420195,0.0636479852340313,0.015408689325061,0.00275173339311835,0.000672511043439921,0.0103776857991552,0.0136537033345786,0
"mSp_rep7_084",0.00647592412502619,0.00167030087018035,0.00301601239909526,0.0752340058184569,0.00239810689230706,0.000824423853138816,0.0440460712344744,0.00594872379440678
"mSp_rep7_044",0.00764298704895796,0.0116669844536293,0.0582974218134083,0.00180750774903406,0.000317527185302431,0.0169628652976393,0,0.00292031202438509
"mSp_rep7_289",0.00373144226254412,0.00461770238700624,0.0504218866497516,0,0,0.000699559513464135,0.00571300859081367,0.013170973868222
"mSp_rep7_195",0,0,0.0581616473752313,0.00146825910788421,0.000339658548219454,0,0.000927758199013932,0.0156670847496549
