"","V1","V2","V3","V4","V5","V6","V7","V8"
"mSp_rep7_276",1.81671242485102e-07,0,0.000788472509979716,0.000998298367547303,0.0490238097876762,0.000261785050915854,0.00204651531089473,0.000339154422486212
"mSp_rep7_267",0.000310417835343413,0,0.00507381858329573,0,0.00404103673177129,0,0,0.0330672386553717
"mSp_rep7_270",0,0,0.00455504059867511,0.00581216695218129,0.0412498590480441,0,0.0198678390798147,0.000976639264672144
"mSp_rep7_291",0.0429894129673584,0.00813413243012472,0.00918044423971259,0,0.00448026314143148,0.00171097332043287,0,0
"mSp_rep7_196",0,0.00941351714096725,0,0.000359534037697314,0.0312219605858195,0.000498202906131734,0.0348403336328312,0
"mSp_rep7_347",0,0.00183225563897792,0.00872083111381786,0.000338244931161186,0,0,0.00216807194409284,0.0352184739893988
"mSp_rep7_141",0,0.00267114206902853,0,0,0,0.148963606154583,0,0
"mSp_rep7_079",0.0071356978828766,0,0,0.00568252167504354,0.0308474938485746,0,0.0534717671788561,0
"mSp_rep7_199",0.0010915830815233,0.00268281701585318,0,0,0,0.148678809341947,2.13010976059521e-05,0
"mSp_rep7_082",0.007869319989793,0,0,0.000359534037697314,0.0433549065824816,0,0.0218809708058335,0
"mSp_rep7_178",0.000277908508689115,0,0.00292708953637079,0,0,0.000266032150141452,0.00132740351934806,0.0370315813717546
"mSp_rep7_374",0,0.000911483297704101,0,0.00239754958582338,0.0406886050465386,0.00179858775652279,0,0.0016829467374676
"mSp_rep7_098",0,0.00757464721172971,0.00512957674846626,0,0.000220493752809932,0.00184846916909506,0,0.0294471459193263
"mSp_rep7_310",0.0025470051900456,0.0402159209481768,0.0103086746287285,0,0.000569764723543092,0,0,0.000603588380576304
"mSp_rep7_327",0,0.00387241104178149,0.0651325230662052,0,0.00709483482589643,0,0,0
"mSp_rep7_144",0,0.00489126883457435,0.00802860983464435,0.0091050829271207,0,0,0.0119382933950479,0
"mSp_rep7_169",0,0.00160609829054241,0,0,0,0.143827259125108,0.00247783837053546,0
"mSp_rep7_264",0,0,0,0.017845041456335,0.0278347963903672,0,0.030144065393565,0.00336219928916377
"mSp_rep7_294",0,0,0.00913910522802639,0.00116634588257905,0.00193942590627299,0.00154081844625524,0,0.039010198643178
"mSp_rep7_072",0.0752754813263535,0.0837692817269753,0,0,0.00301245660687302,0,0,0.000603588380576304
"mSp_rep7_084",0.00660445084710264,0,0,0.112182535101325,0.00431689719311196,0,0,0.0044396235741932
"mSp_rep7_044",0.00562186484732715,0.0106298008232258,0.0104184377620546,0.000103329784675007,4.19436476268097e-05,0.018021566162963,0,0
"mSp_rep7_289",0.00144728466772908,0.00252871172038165,0.00490980656680126,0,0,0,0.003628494352576,0.0334647684862193
"mSp_rep7_195",0,0,0.0102874145170629,0,4.83491494485565e-05,0,0,0.0404837387491593
"mSp_rep7_171",0.00374988552634957,0.00157000967085356,0.0175538358173767,0.00138007767257929,0.0036722112845801,0,0.00146438387981234,0.00474188690678881
"mSp_rep7_202",0,0,0,0.00151829976417692,0.0445344797124079,0.000199723958340631,0.000551300154675845,0.0026828559112146
"mSp_rep7_099",0,0,0.00895841020123724,0.00237800680848153,0.00121030280593034,0,0,0.0303756258488016
