"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"mSp_rep7_276",0,0.0223830299015098,0.00911847020973975,0,0.000588506360323621,0.00170352101796253,0,0.0225798686959783,0,0.0376405600856481,0.00134853513123037,0.00213197708883901,0,0.00929609810734338,0.0030129184759286,0,0.000547775170484803,0.00141925542534295,0,0.00488638850452951
"mSp_rep7_267",0.00143715854364406,0,0,0.000468550217822357,0.0221262621422989,0.000619289021679188,0,0.0247338791245526,0.00872749062484815,0.00636461748811416,0,0.00748379421353536,0.00986175629554561,0,0,0.00296188187599011,0,0.000885517983411175,0.00150849235798883,0.00538864855507636
"mSp_rep7_270",0.000923154224258662,0.0266196984393188,0.0155746068442898,0.00196647927837276,0,0.00241802053841796,3.8363568958304e-05,0.0160463818440075,0.00137994186983802,0.0291615673946015,0,0.00822122474028369,0.00330632803762579,0.00813490024949287,0.00123165037789794,0,0,0,0,0
"mSp_rep7_291",0.00315961021158978,0.00390396793554609,0.000615554583459579,0.000703056608825383,0.0278785773851085,0.0023161370542438,0.00231298025987369,0.016390350833955,0,0.000702022955132512,0.009760216699176,0.00126595543323808,0.0114093953001736,0.00676573580546853,0.000845174893753745,0.00210022462288267,0.000493917073076334,0.00423867402204635,0.00496525169889748,0.00144102904398876
"mSp_rep7_196",0.00274372284174711,0.0277571103335994,0.00106645791592999,0,0,0,0.00504311969683487,0.027069927907503,0,0.0126953555152456,0,0.00140927763543392,0,0.00332796671846509,0.0202779958825338,0.000922280273769171,0,0.00285326652827227,0,0
"mSp_rep7_347",0.00292342049177468,0.000880715727407154,0.00053806540333592,0,0.0278313506955278,0.00211272507248664,0.0037993326502998,0.0264776104880897,0.00845068597775255,0,0,0.00760170816611226,0.0031000582113155,0.00575699963369706,0.000765490101892171,0.00113564544752816,0.00099417459527798,0,0.00136510719127379,0
"mSp_rep7_141",0.00187825498962478,0,0.00117503657184595,0.028622694652608,0,0.00872685393150031,0.00399037803981001,0.00556876672087301,0,0.000500450013715402,0.00649031317010922,0.00132934397022145,0,0.00451752584570164,0.00437869384283065,0.00120517348736653,0,0.0581931715114844,0.00182084523573808,0.00248108518036343
"mSp_rep7_079",0.00281435081664388,0.0287598296600119,0.00270013631221107,0.000594788334154078,0,0.00426936159486921,0.00164539797407493,0.0178102303673429,0,0.0237985801665609,0.00347712349805106,0.00150757337655026,0,0.0123801507762156,0.0110914804071711,0,0.00158714802326265,0,0,0.00193430390727322
"mSp_rep7_199",0.00380953629886571,0,0,0.0253185542376343,0,0.0142356897829326,0.00904099736846168,0.00424967239218612,0.000322325287776036,0.00368472154261662,0.00506177260415131,0,0.00178075044423609,0.00417700538990529,0,0.000576370421469355,0,0.066585054114575,0.00150063098922417,0
"mSp_rep7_082",0.00402949003968369,0.0315080477902195,0.00319632435846526,0.0014734444167336,0,0.00208415973663007,0.000690652627097472,0.00932488989242812,0.0019346056007363,0.0211566356527762,0,0.00203422013215198,0.000763602682630904,0.0116982530020114,0.0124960758647522,0.000310547614002027,0,0,0.00207207305681297,0.000254925777816451
"mSp_rep7_178",0.000252285633206635,0.00294847194534365,0,0,0.0255627835994332,0,0,0.0260649695005401,0.0116979503169212,0,0.001568883151763,0.0034375726512304,0.00852726157425127,0.00101622795182237,0,9.33785773155607e-05,0,0.00311416230610977,0,0.0030218750682506
"mSp_rep7_374",0.00193938943031283,0.0242269651537095,0.00979789515874996,0,0,0.002150553784204,0.00186002901022654,0.0191587086718459,0,0.031387153953778,0.000612231975848445,0.00276176517132363,0.00455197647193287,0.00192898842594513,0,0,0,0.00264236184306397,0,0
"mSp_rep7_098",0.00102352047870194,0,0,0.00227057970915473,0.0235975562222386,0.000253744640555346,0.00742016425316335,0.0284893655032087,0.00462373700513347,0.000212577106341469,0.00260190003998531,0.00337742923263694,0.00996023145139201,0.00213195594032628,0.00447190308622528,0.00185475499500844,0,0,0.00123705884829732,0
"mSp_rep7_310",0.00356746724017237,0,0.00348622542285108,0,0.0124497583948051,0.0011606534708289,0.0216215596033863,0.0275365584522389,0,0,0.00438853893918078,0.00476021736417193,0,0.00351562841782078,0.00798577177125196,0,0,0.022022759920284,0.00286670817606934,7.20563433660149e-05
"mSp_rep7_327",0,0,0,7.34450183163929e-05,0.0352788356133441,0.00246263749435384,0.000319339684777841,0.0289283224804479,0,0.00171846008540798,0.00692908325632047,0.00213431495924582,0.00280536079855036,0.00607894003114025,0.00293482373364099,0.00327061194348074,0,0.00238494048667049,0,0.00309780167445802
"mSp_rep7_144",0.00223219131353794,0.0306523281758362,0.00670883416113572,0,0.00840447407322066,0.00645336835923387,0.00233464984287567,0.0137110203913077,0,0.00185814492457062,0,0.00864033764699647,0,0.0082980818321768,0.00828889796599502,0.00145923291861075,0.000677517316235957,0.00116940830349704,0,0
"mSp_rep7_169",0.00717748346190031,0,0.000575931223495753,0.0271674714320555,0,0.0119583308450746,0.00382603029259953,0.00182522870821371,0.000662402063671155,0.00313138750683712,0.000885044261153817,0.00576765332210443,0.000991018123733962,0.00538616211868454,0,0.000376876082433229,0,0.0586911409821171,0.00279706574624076,0.00297756888621294
"mSp_rep7_264",0.00356068062184835,0.0273772710757496,0.0143024357340181,0,0.00191223873113706,0.00531145409259905,0,0.0152719826356162,0.000676131105477746,0.0313406275192592,0,0.00314395302721366,0,0.00666116890416994,0,0.000281891618306863,0.00106995292044756,0,0,0.00402264234890861
"mSp_rep7_294",0.0015210210240597,0,0,0.00203586124319103,0.0296265369247468,0.000950671274033127,0,0.0255340911594478,0.0108961507589065,0.00254755449380982,0.00132435255821354,0.0044789218047498,0.00295744153593559,0,0,0,0.00166189979076756,0,0.00123279764067979,0.00432930191683022
"mSp_rep7_072",0.00500001836715183,0.0019183590714581,0.00650349080480351,0,0.00695959160505444,0.00142327381259798,0.0352197787388561,0.00615473998642664,0,0,0.0126680409107987,0.00642515659146249,0,0.0141358295407703,0.000922142909876918,0.0039268447889521,0,0.0305723317157929,0.0220375472149863,0
"mSp_rep7_084",0.00431932880600585,0.00646789568901782,0.0314803116118946,0,0,0.00570859973112629,0,0.0296227837240645,0.00280768072308834,0,0.000389109166190304,0.00158010494157859,0.000507508581109932,0.00443664327469241,0.00586795410019438,0,0.030930699301785,0.00342659205999258,0.00237899978122666,0.000923512787313526
"mSp_rep7_044",0.00262782172954226,0.00386104756175801,0,0.00496550093302689,0.0315829094063359,0.00688981109040431,0.0030107261237583,0.0107776204774564,0,0,0.00776837031660004,0.000492606624415718,0.0063366501391741,0.00661387529557185,0.00213721363560775,0.00157698775420996,0.000476880488374153,0.00771477211519092,0,0.0122099308638503
"mSp_rep7_289",0.00317714882999432,0,0.00111332089520406,0.00019531918264277,0.0215442583170811,0.00142791008405637,0.00431777344358858,0.0295018708624894,0.0113122331038375,0.00170862899277197,0,0.00401502885720346,0.00228987842719023,0.00598523122992479,0,0,0,0,0.00219257074368516,0.00263357846989154
"mSp_rep7_195",0.00383119238950994,0.00132363977510272,0,0.000547746185931082,0.0294364295962741,0,0,0.025470706024615,0.0139719458404805,0,0,0.00467945799149645,0,0.00198119542208561,0.00124517369801054,0.0010511664530557,0,0,0,0.00257268642516743
"mSp_rep7_171",0.00121992422700283,0.00558563108404318,0.00141899751699597,0,0.0327024927838487,0.00580438304200335,0,0.0162464369317135,0,7.07306394196252e-05,0.000735836790709426,0.00549731259263423,0.00666768244068943,0.00144945055213598,0.000756623033109725,0.00370144356143509,0.00239238871566216,0.00323671548317599,0.000852065379959037,0.00976459079833475
"mSp_rep7_202",0.00318376130346499,0.0229526796624858,0.0135400367838044,0.000235600964801328,0,0,0,0.0199251251978829,0.00134755020673032,0.0325660478487184,0,0.0024105146962144,0.000450616406682692,0.00397935409560742,0.000424580309750629,0.00556238839731813,0,0,0.000999147226419076,0
"mSp_rep7_099",0.00182195338235268,0,0.00548778022818566,0.00180428106714718,0.0276568667004628,0.000957580897230331,0.00084530158309173,0.0232396321172415,0.00856629457427105,0,0.00115187745844972,0.00904343216818017,0.00235200896117772,0.00512238421629993,9.37676255619261e-05,0,0.000597989916861814,0,0.000710575264150493,0.00235988723523893
