"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"mSp_rep7_276",0,0,0.000864386640871963,0,7.20242106418775e-06,0,0,0.000100229540801324,0.000109683520798988,0.0371774053273843,0.000656435302121909,0.000219548456595626,0,0.00447413308083368,0.0317050918216628,0,0,0.00128502913882855,0,0.0056973463329863
"mSp_rep7_267",0,0,0,0,0,0,0,0,0.0206279380577841,0.00392435291782832,0,0.00682645301623581,0.0192904219780363,0,0,0.0049777350456562,0,0.000274899072292702,0.00029054888308971,0.00254733620557521
"mSp_rep7_270",0,0.00061578571685224,0.00597705874792637,0.000952067746659452,0,0,0,0,0.00197748080535543,0.0225354121017946,0,0.00823479657819633,0.00194117711972278,0.00277076447270659,0.0289725901464962,0,0,0,0,0
"mSp_rep7_291",0.00315961021158978,0.00390396793554609,0.000615554583459579,0.000703056608825383,0.0278785773851085,0.0023161370542438,0.00231298025987369,0.016390350833955,0,0.000702022955132512,0.009760216699176,0.00126595543323808,0.0114093953001736,0.00676573580546853,0.000845174893753745,0.00210022462288267,0.000493917073076334,0.00423867402204635,0.00496525169889748,0.00144102904398876
"mSp_rep7_196",0,0.00332941432522834,0,0,0,0,0.00199351418226861,0.0026885003787501,0,0.00322996468700731,0,0,0,0,0.05792355707641,0.00077260268172917,0,0.00263647535919869,0,0
"mSp_rep7_347",0.00250281635621502,0,0.000332195773028361,0,0.000650977419686763,0,0.00136518741671345,0.00310767190205513,0.0170091524438366,0,0,0.0137747254958368,0.000237312941427791,0.00136151751816207,1.60440320401275e-06,0.00487734811147171,0,0,0,0
"mSp_rep7_141",0,3.06042139838364e-06,0.000433521224297336,0.0612142848255379,7.49710269374268e-05,0,0.00229660016379497,0.000266202836341111,0,0,0.0027673995363557,0,0,0.00495554690258354,3.49250052414291e-07,0,0,0.000341653697262088,0.000729494476151346,0
"mSp_rep7_079",0.00124658267971671,0.0231477882018994,0.0013825293727505,0,0,0.000303325214952466,0,0,0,0,0.00539162846311486,0,0,0.0170410779085846,0.0374401203957164,0,0.00828570679139022,0,0,1.76316536281875e-05
"mSp_rep7_199",0,3.06042139838364e-06,0,0.0554812449470123,7.49710269374268e-05,0.00831532995048863,0.00494217424907423,0,0,0,0.00177143853577115,0,0,0.00371970310606915,0,0,0,0.0142884379155828,0.000621962520377274,0
"mSp_rep7_082",0.00402018365517131,0.0366112498457997,0.00163475512061133,0.00139570639082739,0,0,0,0,0,0,0,0,0,0.010446379429071,0.0405721748234438,0.000285839976504465,0.00042552958116441,0,0.00563314620190444,0
"mSp_rep7_178",0,0.00254551785601432,4.17145721375654e-07,0,0.000522624012291034,8.26529201438779e-07,0,0.000310558206084515,0.0259451409501372,4.84507809638662e-07,0.000677848135473275,0,0.0146872450484395,0,0,0.00044589135335814,1.53388028273444e-07,0.0037726409554231,0,0.00149499472455269
"mSp_rep7_374",0,0,0.00126608834174814,0,0,0,0,0,0.000109683520798988,0.0264926221719656,0,0.00114942657033348,0.00358369445853012,0,0.0193458675097067,0,0,0.00367863938363162,0,0
"mSp_rep7_098",0,0,0,0.00106560857633533,0,0,0.00350005221131695,0.00141691550996629,0.0150559501672716,0,0.000931150383216239,0.000923851911550985,0.0194443741272513,0,0.00375254070891904,0.00338531915686753,0,0,9.67892195081315e-05,0
"mSp_rep7_310",0,0,0,0.000248108616610927,0.00171977457950032,0,0.0352149203347134,0.00252467793166561,0.000295212328063504,0,0.00518739628566117,2.58788373843272e-09,0.000209929560691909,1.11044287445552e-06,0.0104196716367471,0,0,0,0.000948036545071885,0
"mSp_rep7_327",0,0,0,0,0.0152505768489962,0,0,0.00272104561402692,0.00144680196668563,6.17370613323963e-05,0.00502289674313627,0,0.00872878502807725,0.00275716622110398,0.0071449423329888,0.0117203483031312,0,0.000425640038301387,0,0.000875743329166392
"mSp_rep7_144",0,0.0291557095345198,0.00757224209954911,0,0.00374546752913977,0.00308789560205797,0,0,0,0,0,0.0198801119598131,0,0.00263934417798178,0.0251184475347146,0.00210653897778364,0.004081039165133,0,0,0
"mSp_rep7_169",0.000883901369044928,3.06042139838364e-06,0,0.0602787540055712,7.49710269374268e-05,0.00316005408130627,0.00200239575303444,0,0,0,0,0.00144752016184806,0,0.00750074927985007,0,0,0,0.00154658037097529,0.00146285267395611,0
"mSp_rep7_264",0.000800281890139193,0.00222993445082401,0.00470128629947611,0,0.00124748398664138,0.000635052259153506,0,0,0.00146908976964517,0.0264374660539878,0,0.00162899912306191,0,0.000828688535969384,0.0193458675097067,0.000286488891253396,0,0,0,0.00381561194245497
"mSp_rep7_294",0,0,4.17145721375654e-07,0.000941489792961535,0.00526203275909772,8.26529201438779e-07,0,0.000118022639053893,0.0246921680152999,0.00157223938722372,0.000369886860088403,0.0010396074809504,0.00650155804567694,0,0,1.06904780044612e-05,0.000608044557179562,2.62176509295634e-05,0.000254331036006446,0.00292955475851934
"mSp_rep7_072",0.00113780602130672,0,0.000980066473501106,0.000248108616610927,0,0,0.0598147020709259,0,0.000295212328063504,0,0.022666463662887,0.00495586169885353,0.000209929560691909,0.0274405199673126,0.00322785626736322,0.00404096953064161,0,0.00425721265820001,0.0360974932542853,0
"mSp_rep7_084",0.00351165369578317,0.00199845051398565,0.0182565380077841,8.99283278966402e-07,0,0,1.39499339263541e-05,0,0.00193936193897673,0.000684552038809565,0,0,0,0,0.0055166542363354,0.000788731088050962,0.0518519162793817,0,0.00272068213989538,0.00237035904473663
"mSp_rep7_044",0.00262782172954226,0.00386104756175801,0,0.00496550093302689,0.0315829094063359,0.00688981109040431,0.0030107261237583,0.0107776204774564,0,0,0.00776837031660004,0.000492606624415718,0.0063366501391741,0.00661387529557185,0.00213721363560775,0.00157698775420996,0.000476880488374153,0.00771477211519092,0,0.0122099308638503
"mSp_rep7_289",0.000762362039741452,0,0.000793418423693397,0,0,8.26529201438779e-07,0.00188164726234044,0.00242520111993319,0.0252621497836212,0.000775525677890324,1.79892570722985e-06,0.000679516021186916,0.00525233350293343,0.00304903786450603,0,1.06904780044612e-05,1.53388028273444e-07,2.62176509295634e-05,0.00102467820964462,0.00112020239380064
"mSp_rep7_195",0.00131992414176347,0.00078367543579895,4.17145721375654e-07,6.45915823100056e-05,0.00504783966596021,8.26529201438779e-07,0,0.00010053662943531,0.0300269374468731,4.84507809638662e-07,1.79892570722985e-06,0.00123693550617258,0.000446414898593098,0,0.00085512804282129,0.00188846603493078,1.53388028273444e-07,2.62176509295634e-05,0,0.00105280281330207
"mSp_rep7_171",0,0.00176833102038201,0.000839009405114211,0,0.0106478691238653,0.00224716643984833,0,0,0.00144680196668563,0,0,0.00419201377805511,0.0176668443631286,0,0.00358049237630952,0.0126047661254323,0.000684785808114581,0.000826415563870374,0,0.0110602480381478
"mSp_rep7_202",0.00047091290743228,0,0.00409317389928243,0,0,0,0,0,0.00188967674247369,0.0278410557142457,0,0.000509126932068508,0,0,0.0277178801203678,0.0063915496961756,0,0,0,0
