"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"mSp_rep7_276",0.000738532605261251,7.39971568556811e-06,0.00143047471835634,0,0,0,0,0,0.00520857055402627,0,0.0226775241208916,0,0,0.00380399743005701,0,0,0,0,8.5531037901447e-05,0.0320953246849842,0.00407903199347602,0.00268445574256075,0,0.001053308950482,0,0.00480004547968924,7.00756428015852e-06,0,0,0
"mSp_rep7_267",0,0.00100877089368377,0,0,0.00246828418481849,0,0,0,0,0.00868718441046081,0,0,0,0,0,0,0,0.0117700984768012,0.00482764633442671,0.00898466623776799,4.07411537215432e-06,0,0,0,0.014347992245258,0,0.00137298176506386,0,0,0.019751797496969
"mSp_rep7_270",0.00191563261677447,6.40439796076027e-07,3.32166161842437e-06,0,0.00315185315813368,0.000468739075230582,0,0,0.00528067644960662,0.000541618014362756,0.0210000761933628,0.00780293323070654,0.00688920443212165,1.70002086421136e-06,0,0,0.000920609408865657,0.00582170138289825,0,0.00648928198580597,0,0.00647584542181113,0,0,0.00097329201332459,0.00312070812351717,2.33405448379986e-05,1.05018556470204e-05,0.00274079686362975,0.000173826775026972
"mSp_rep7_291",0,0.00145484847266352,0.00629711596682408,0,0.00813841800985268,0,0.000206462938912871,0.00348904555060823,0,0.00147122852574487,0,0,0,0,0.000200647843643997,0.000316551970630359,0.000286643939600934,0.00119524198773697,0,0.00108442187197254,0,0,0.00289595925213884,0,0,0.00402635729883556,0,0.000466389273274252,0,0.0297784127365201
"mSp_rep7_196",0.000583675527721695,0.00497803597103641,0.00277495727990568,0,0,0,0,0,0.0245430915098178,0.000419830829069632,0.00154355348321737,0,0.00524900303968231,0,0.00230758326468947,0.000840835625083354,0,0.00482859673302772,0,0,0,0,0,0,4.67610329462908e-06,0,3.77618568027071e-06,0.000430054925914728,0.00662593024024218,0
"mSp_rep7_347",0.00247103198705853,0.00466508918000536,0,0.000340637083961324,0,0.000126668663725816,0.00130447581254382,0,0,0.00732035785890671,0,0,6.36304306726311e-05,0,0.00136364581083649,0.000934135510970011,0,0.00379452408806552,0,0,0,0.0080738018384966,0,0,0.0212299347513582,0.00208821411730351,0,0,0.00234420351064591,0.00470417502599007
"mSp_rep7_141",0.000431504185900216,0,0.000288833258868102,0,0,0,0.0019881810531653,0,0,0,0.000200349650959234,0,1.80918401598085e-06,0,0.00308213898763575,0,0.0797703597925919,0,0,0,0.000155744200871415,0,0.000299827121702694,0.000203228416771003,0,0.00643576694735587,0,0,0,0
"mSp_rep7_079",0.0050314486068583,0,0.000730576487496392,0.00109265226528747,0,0.000989746672522386,0,0,0.0184344768192727,0,0.00154355348321737,0,0.00120976072901442,0,0,0,0,0.00316578748512899,0,0.00428808120638945,0.000605341130923499,0,0,0,0.00135625921615869,0.00937908296033916,3.77618568027071e-06,0,0,0
"mSp_rep7_199",0.00602678735214092,0,0.0096679445743728,0,0,0.00465059419715435,0.000166565699588448,0,0,0,0,0,1.80918401598085e-06,0,0.00532269228702832,0,0.0788074726320251,0,0,0,0,0,0,0,0,0.00452499538233463,0,0,0.00242418823242092,0
"mSp_rep7_082",0.000873772832539668,0,0,0,0.00118589488104424,0,0,0,0.02035788189516,0.00256336502644125,0.00154355348321737,0,0.021404299003832,0,0,0.000493522278567797,0.000985695892781,0.000194586893864246,0,0.000235023840725788,0,0,0.000637920826971935,0,4.67610329462908e-06,0.00830194039642466,3.77618568027071e-06,0,0,0
