"","V1","V2","V3","V4","V5","V6","V7","V8"
"mSp_rep7_276",0.0015940404284602,0,0.00162355824556111,0,0,0.000206050936723043,0.00179948886683492,0.0430042206710041
"mSp_rep7_267",0.0018407456581022,0.00071532311635265,0,0.00330859544338557,0.000426799403008325,0.0324412418667997,0,0.00151140095369751
"mSp_rep7_270",0.0386017538588694,0,0.00609497038599975,0,0.0430049617476975,0.0039573624422833,0,0.0333477981697916
"mSp_rep7_291",0.000435166823673131,0.0400870769817575,0,0.00308609703266289,0.00143514931367425,0,0.00967614256566712,0.00146099484693433
"mSp_rep7_196",0.0048311374925021,0.000437581905473903,0,0.0100137101887403,0.000614910687195229,0.000206050936723043,0,0.033463512604248
"mSp_rep7_347",0.00221036790587875,0.00141179390683615,1.98476040321286e-06,0.0115344162903637,0,0.0316346971574125,0.00760992644224249,0
"mSp_rep7_141",0,0,0,0,0.161510776861053,0,0.00303241790341696,0
"mSp_rep7_079",0.00928885997737425,0.00150326047101385,0,0.000195397995356781,0.000393242719668185,0.000206050936723043,0,0.0358996341186267
"mSp_rep7_199",0,0.0121960317508534,0,0.00284888583137144,0.161196583247025,0,0,0
"mSp_rep7_082",0.00501116421065577,0.000931282042395479,0,0,0.001187949505212,0.00214301225571968,0,0.0366325104876107
"mSp_rep7_178",0.00165975260652866,0,0,6.71923463680953e-06,0.000921096887492425,0.0367186447560495,0.0013255861767241,0
"mSp_rep7_374",0.0216705868882047,0.00478993534231703,0.0112651435070087,0,0,0.00170479482047539,0,0.0210929463748742
"mSp_rep7_098",0,0.00579296792438719,0,0.0199038352800318,0.0027477011462091,0.00521677261447355,0.00486158453006454,0.00467792319084985
"mSp_rep7_310",0,0.036387146312773,0,0.0434584852792939,0,0.00350385288707018,0.015974256613064,0.00555335675777567
"mSp_rep7_327",0,0.00165369077747911,0,0,1.38938103609008e-05,0,0.0899073338053669,0.00427966359043014
"mSp_rep7_144",0.0154583409047357,0.00184928987070366,0.0108497351479407,0.00325426789727556,0,0.00131279500233637,0.0145976828321528,0
