"GO.ID","Term","Annotated","Significant","Expected","weightFisher"
"1","GO:1903298","negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway",5,2,0.03,"0.00037"
"2","GO:2001171","positive regulation of ATP biosynthetic process",7,2,0.04,"0.00078"
"3","GO:0036289","peptidyl-serine autophosphorylation",7,2,0.04,"0.00078"
"4","GO:1901857","positive regulation of cellular respiration",8,2,0.05,"0.00103"
"5","GO:0045214","sarcomere organization",16,2,0.1,"0.00428"
"6","GO:0051897","positive regulation of protein kinase B signaling",60,3,0.37,"0.00599"
"7","GO:0035633","maintenance of blood-brain barrier",22,2,0.14,"0.00804"
"8","GO:0010712","regulation of collagen metabolic process",22,2,0.14,"0.01214"
"9","GO:0090303","positive regulation of wound healing",32,2,0.2,"0.01660"
"10","GO:0051954","positive regulation of amine transport",11,2,0.07,"0.01814"
"11","GO:0010718","positive regulation of epithelial to mesenchymal transition",34,2,0.21,"0.01863"
"12","GO:0032966","negative regulation of collagen biosynthetic process",5,1,0.03,"0.03063"
"13","GO:0032225","regulation of synaptic transmission, dopaminergic",5,1,0.03,"0.03063"
"14","GO:0071223","cellular response to lipoteichoic acid",5,1,0.03,"0.03063"
"15","GO:1903147","negative regulation of autophagy of mitochondrion",5,1,0.03,"0.03063"
"16","GO:0055091","phospholipid homeostasis",5,1,0.03,"0.03063"
"17","GO:0060700","regulation of ribonuclease activity",5,1,0.03,"0.03063"
"18","GO:0034334","adherens junction maintenance",5,1,0.03,"0.03063"
"19","GO:0002138","retinoic acid biosynthetic process",5,1,0.03,"0.03063"
"20","GO:0098814","spontaneous synaptic transmission",5,1,0.03,"0.03063"
"21","GO:0036481","intrinsic apoptotic signaling pathway in response to hydrogen peroxide",5,1,0.03,"0.03063"
"22","GO:0010985","negative regulation of lipoprotein particle clearance",5,1,0.03,"0.03063"
"23","GO:0006570","tyrosine metabolic process",5,1,0.03,"0.03063"
"24","GO:0010793","regulation of mRNA export from nucleus",5,1,0.03,"0.03063"
"25","GO:0006538","glutamate catabolic process",5,1,0.03,"0.03063"
"26","GO:0002036","regulation of L-glutamate import across plasma membrane",5,1,0.03,"0.03063"
"27","GO:1904783","positive regulation of NMDA glutamate receptor activity",5,1,0.03,"0.03063"
"28","GO:0010831","positive regulation of myotube differentiation",5,1,0.03,"0.03063"
"29","GO:0061945","regulation of protein K48-linked ubiquitination",5,1,0.03,"0.03063"
"30","GO:0045743","positive regulation of fibroblast growth factor receptor signaling pathway",5,1,0.03,"0.03063"
"31","GO:0090045","positive regulation of deacetylase activity",5,1,0.03,"0.03063"
"32","GO:1902956","regulation of mitochondrial electron transport, NADH to ubiquinone",5,1,0.03,"0.03063"
"33","GO:0000389","mRNA 3'-splice site recognition",5,1,0.03,"0.03063"
"34","GO:0007596","blood coagulation",104,4,0.64,"0.03328"
"35","GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic",48,2,0.3,"0.03546"
"36","GO:0042167","heme catabolic process",6,1,0.04,"0.03665"
"37","GO:0032074","negative regulation of nuclease activity",6,1,0.04,"0.03665"
"38","GO:0051481","negative regulation of cytosolic calcium ion concentration",6,1,0.04,"0.03665"
"39","GO:1903961","positive regulation of anion transmembrane transport",6,1,0.04,"0.03665"
"40","GO:0070230","positive regulation of lymphocyte apoptotic process",6,1,0.04,"0.03665"
"41","GO:0010992","ubiquitin recycling",6,1,0.04,"0.03665"
"42","GO:0090400","stress-induced premature senescence",6,1,0.04,"0.03665"
"43","GO:0006591","ornithine metabolic process",6,1,0.04,"0.03665"
"44","GO:0001502","cartilage condensation",6,1,0.04,"0.03665"
"45","GO:0045945","positive regulation of transcription by RNA polymerase III",6,1,0.04,"0.03665"
"46","GO:0032483","regulation of Rab protein signal transduction",6,1,0.04,"0.03665"
"47","GO:1903689","regulation of wound healing, spreading of epidermal cells",6,1,0.04,"0.03665"
"48","GO:0051580","regulation of neurotransmitter uptake",6,1,0.04,"0.03665"
"49","GO:0072657","protein localization to membrane",380,5,2.36,"0.03678"
"50","GO:0007229","integrin-mediated signaling pathway",53,2,0.33,"0.04249"
"51","GO:0006107","oxaloacetate metabolic process",7,1,0.04,"0.04263"
"52","GO:0043650","dicarboxylic acid biosynthetic process",7,1,0.04,"0.04263"
"53","GO:0031665","negative regulation of lipopolysaccharide-mediated signaling pathway",7,1,0.04,"0.04263"
"54","GO:0030852","regulation of granulocyte differentiation",7,1,0.04,"0.04263"
"55","GO:0042780","tRNA 3'-end processing",7,1,0.04,"0.04263"
"56","GO:0021932","hindbrain radial glia guided cell migration",7,1,0.04,"0.04263"
"57","GO:1901298","regulation of hydrogen peroxide-mediated programmed cell death",7,1,0.04,"0.04263"
"58","GO:0009068","aspartate family amino acid catabolic process",7,1,0.04,"0.04263"
"59","GO:1903800","positive regulation of production of miRNAs involved in gene silencing by miRNA",7,1,0.04,"0.04263"
"60","GO:0060368","regulation of Fc receptor mediated stimulatory signaling pathway",7,1,0.04,"0.04263"
"61","GO:2001140","positive regulation of phospholipid transport",7,1,0.04,"0.04263"
"62","GO:0031281","positive regulation of cyclase activity",7,1,0.04,"0.04263"
"63","GO:1901725","regulation of histone deacetylase activity",7,1,0.04,"0.04263"
"64","GO:0045779","negative regulation of bone resorption",7,1,0.04,"0.04263"
"65","GO:1903376","regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway",7,1,0.04,"0.04263"
"66","GO:0097084","vascular associated smooth muscle cell development",7,1,0.04,"0.04263"
"67","GO:0033623","regulation of integrin activation",7,1,0.04,"0.04263"
"68","GO:0099560","synaptic membrane adhesion",8,1,0.05,"0.04857"
"69","GO:0010470","regulation of gastrulation",8,1,0.05,"0.04857"
"70","GO:0016926","protein desumoylation",8,1,0.05,"0.04857"
"71","GO:0098779","positive regulation of mitophagy in response to mitochondrial depolarization",8,1,0.05,"0.04857"
"72","GO:0006071","glycerol metabolic process",8,1,0.05,"0.04857"
"73","GO:0042996","regulation of Golgi to plasma membrane protein transport",8,1,0.05,"0.04857"
"74","GO:0055089","fatty acid homeostasis",8,1,0.05,"0.04857"
"75","GO:1903206","negative regulation of hydrogen peroxide-induced cell death",8,1,0.05,"0.04857"
"76","GO:0061621","canonical glycolysis",8,1,0.05,"0.04857"
"77","GO:0038203","TORC2 signaling",8,1,0.05,"0.04857"
"78","GO:0010988","regulation of low-density lipoprotein particle clearance",8,1,0.05,"0.04857"
"79","GO:0051957","positive regulation of amino acid transport",8,1,0.05,"0.04857"
