,cluster_0
NAT14,0.448004
THAP4,0.3759556
TRIM44,0.3271301
SGCB,0.3699288
CLDN12,0.31267926
MFAP1,0.33183315
BLOC1S4,0.29676726
SUN2,0.31597155
RBP1,0.27941668
ITGB1,0.32957757
SLC39A11,0.35379067
ZNF143,0.34759194
ICMT,0.3527667
CYB561D1,0.3747622
MADD,0.37503254
HPS6,0.32998
HSDL2,0.37051693
PRELID1,0.3094527
MRPL44,0.3028764
KRT19,0.27102214
DESI1,0.3256474
PRCC,0.34899536
ABCE1,0.34512904
CHORDC1,0.35340986
LOXL2,0.24530293
RPL36A,0.2942405
GOT1,0.3607499
FAM20B,0.37024418
PINK1,0.33499566
ELAC1,0.36048356
SLU7,0.335684
IWS1,0.36327207
HNF4A,0.40422064
DSTYK,0.3400813
TOR2A,0.37736994
MAPK14,0.32959673
ENO1,0.23934343
MFSD5,0.3114277
GCFC2,0.39621577
FERMT2,0.24685377
TRIB1,0.2587072
NEURL4,0.41024393
ANKRD13D,0.3875075
FAM217B,0.34021363
ATP6V0A2,0.33739915
CSK,0.30946857
IFT57,0.32444412
BLVRB,0.32404926
MAP2K2,0.35449892
PSKH1,0.34633145
