,score
QDPR,1.1098898239554913
PLCE1,1.0900474717137225
TMEM176A,1.0806843451046255
GC,1.0452829507963521
PALLD,1.016454746855505
SLC7A2,1.008190227510056
ALDH1A1,1.007019302784716
MUC13,1.0041184681419182
TUSC3,0.9958269178719608
FXYD3,0.9755151791164138
IRX2,0.9666732644259657
ELL2,0.9620130318642595
ARX,0.9600509882753627
FEV,0.9581620346168496
PCSK2,0.95006314946815
TMEM45B,0.9320344855797416
A1CF,0.9296537505425384
VGF,0.9290907313095786
GNAI1,0.9274028651362514
TTR,0.9181631823823366
ITGB1,0.9165344515477578
COX8A,0.9109702747130335
SMARCA1,0.9107808927361454
CD59,0.9054070701126342
CHGB,0.9002563631138827
FXYD6,0.886225088883208
CRYBA2,0.8836912130281149
F10,0.8819247489459947
SLC22A17,0.881345047034543
CLU,0.877615584952899
SMOC1,0.8725684833974068
CALY,0.8692329923658093
PTPRT,0.8681562410337129
PDK4,0.8657240992205573
LOXL4,0.8642154690205128
SLC38A4,0.8602874383146997
RGS4,0.8602172989882195
VSTM2L,0.8563504413231726
C5orf38,0.8547273667570021
PKM,0.8538848377840349
PAPPA2,0.8468140360745391
KCTD12,0.8456504987452096
GPX3,0.8437743548181942
SLC7A14,0.8364366247975781
GLS,0.8352175999823714
KCNA5,0.8330054159321865
CYCS,0.8254115813122809
LGALS3BP,0.8238387632808433
CHGA,0.8223843768572436
PTP4A1,0.821768064936478
GCG,0.8191727852964625
ARHGAP1,0.8145916096654311
LAMP2,0.8122713241573933
DDX5,0.8108969592186099
ATP6AP2,0.8097529462282864
PCSK1N,0.8077873345352593
CD46,0.80482225579307
CACNA2D2,0.8030255247966078
FAP,0.8022590424843656
PRKAR1A,0.7907759101894385
SPTSSB,0.7880530725149271
SCG2,0.7876682788854339
MYL6,0.7868497465937363
FSTL5,0.7849183724161435
GRN,0.7839415278847603
RHOA,0.7835522348561454
CFC1,0.7823825334116741
CACNA1A,0.7796033617744946
CELF3,0.7749584842295043
VWA5B2,0.7741406618475999
KLHL41,0.771589386578464
ARPC5,0.7711263307639769
CRH,0.7705876972856629
CTSB,0.7693993177260552
SERPINI1,0.7679703231076402
TUBA1A,0.7645430432775377
POPDC3,0.763606980329179
CNIH2,0.762387420743682
MORF4L1,0.7619259805257741
TM4SF4,0.761293983596012
PTPRN2,0.7571292621003423
DPP4,0.7556304210424081
RAN,0.751825867830135
B2M,0.7491748837348524
CSGALNACT1,0.7490510344535473
SCG5,0.7420683852926935
MARCH4,0.7419356640393282
FAM84A,0.7415357351594931
GHITM,0.7409476052907991
CD99L2,0.7403757838240654
SKP1,0.7395558101600699
CD164,0.7394155711647414
SLC25A5,0.739353768033169
SERPINA1,0.7389461489894522
SLC8A2,0.7383870118747193
KCNJ3,0.7361735586811857
PPP1R1A,0.73517657212534
C6orf62,0.7349970175064868
STMN1,0.733448810865081
CALM2,0.732392741768706
PGR,0.7308994371955535
MAFB,0.7292834219946975
TMEM176B,0.7277015792955588
SUB1,0.7276786723071353
TMBIM6,0.7272713982142847
BTG2,0.7255278340297302
NPC2,0.72549619582216
GRIA3,0.7238188664034695
ASAH1,0.7232927005763088
LGI3,0.7188114968970982
ARPC2,0.7185357961332244
PEMT,0.7181308772516104
H3F3B,0.7153600835143976
KCNJ6,0.7150845863796995
ADCY1,0.7141599606261373
PTP4A3,0.7132004067591513
SEZ6L,0.7113645235307331
CPE,0.7110939613113487
ARPC3,0.710000299491071
HNRNPA2B1,0.707838898728383
FAM131C,0.702537307873774
GADD45G,0.7022378170885357
SNRPG,0.7016800600233069
RIMBP2,0.7001333832730161
POMP,0.6984529682112282
RAB26,0.6968998159194495
C1orf21,0.6962008833095226
FBLL1,0.6954438960978582
CCT2,0.6942488742676005
TUBA1B,0.692502779156797
NPTN,0.6906378055800104
HSBP1,0.6882895144259038
TBC1D30,0.6882673679139106
GRM4,0.6868153282786338
FKBP1A,0.6856740172900402
SSTR1,0.6855075586147841
PTPRN,0.685309569356285
C2CD4A,0.6852929780148731
TJP2,0.684982965856463
PPM1K,0.6844556935181672
CPLX1,0.6821141379553364
CACNA1C,0.6814717870803122
XRCC5,0.6806590206910528
MORF4L2,0.6806414765762838
CAP1,0.6799228514076958
PTGES3,0.6783140902602298
BZW1,0.6782070028064453
SRP9,0.6780082074800049
APLP1,0.6766903657680068
TMEM74B,0.6754179873464938
UBE2D3,0.6741397301734509
EIF4G2,0.6739537511646176
SV2A,0.6738660349591807
CD63,0.6736609125476463
KIF5B,0.6704388333397873
EZR,0.6701414059539417
SET,0.6684867657646834
LHFPL4,0.6658406136400341
CAPZA2,0.6650477205400875
SLC29A4,0.6648644650566027
TMEM50A,0.6640363137159397
SLC7A8,0.6636634491580473
GCNT1,0.6628197399144664
PPP1R3F,0.6622047690868715
CCT5,0.6619218491563998
SSTR2,0.6607592763822279
AP3B2,0.6597371511545269
RAB1A,0.6593063520205362
HNRNPU,0.6578827724221412
MAPK8IP2,0.6572848494952765
CNTN1,0.6547616535936385
VDAC1,0.654093585400517
CTNNB1,0.6533508085934159
SPRED3,0.6531248168346604
VCP,0.6523550661574546
TOX3,0.6522563248362978
NPHP4,0.6517756155528076
ITM2B,0.6486647071849347
RAB2A,0.6477061605507402
FABP5,0.6472133430765581
RNF150,0.646039983165636
NDUFA6,0.645800117796199
MATR3,0.6456011515855238
HECW2,0.6439578182511951
COPB1,0.643829139032448
PSD,0.6426163784655436
SNRPB,0.6424886091721476
CLIC1,0.6421961123236457
SAP18,0.6412048698391999
SSR2,0.6411937623639403
RDH11,0.6401010716054572
RAB14,0.6388848885066523
RAB7A,0.63800500558186
CAND2,0.6374128335080886
DAZAP2,0.6372817095775218
NEUROD1,0.6367791930159683
KIAA1324,0.6362326474778079
CAPZA1,0.6351338086693801
HS6ST3,0.6346043296987958
GCH1,0.6344129054453695
XRCC6,0.6342379765493433
CMTM6,0.6342032870496865
TMEM61,0.6338269468463054
KCNMA1,0.6327002977954077
NFASC,0.63222112743615
NARS,0.6321133728585409
ENPP2,0.6308249860115467
CLTC,0.6306392115266561
TMEM132D,0.6306231282036112
VDAC3,0.6300889073293092
CD36,0.63005209768302
GRIK5,0.629707736642704
SEPT2,0.6293804782533954
EID1,0.6286309230383154
CTTN,0.6284525198972233
GNG5,0.6283076100661447
HNRNPH1,0.6281732380962097
SERPINA6,0.6281224598658675
RGS11,0.6280043062381946
DYNLT1,0.6274418535714261
SF3B1,0.6259664390884865
RAB10,0.6256284870335378
LAPTM4A,0.6254390903400093
SCARB2,0.6246595734224343
ITGB8,0.6243252060014832
DNAJA1,0.6242257553117838
MRFAP1,0.6240805606736473
MDH1,0.623908252403595
ATP6V0E1,0.6238506644164801
YWHAB,0.6237687539066172
HNRNPF,0.6235241046438489
PDE3B,0.623299995133868
SON,0.6221463220203702
HIGD1A,0.6212060030378836
PRDX3,0.6202704688139704
PPP2CA,0.6199029537864078
CPLX2,0.6198698008151204
TMEM59,0.6192956312160618
ASPHD1,0.6186442666947567
KLHL3,0.6176546992858967
TPI1,0.6158616555570973
