,factor_6
CYCS,1.4447283
DDX5,1.4072568
LAMP2,1.3830539
MORF4L2,1.3367417
ARPC5,1.326195
C6orf62,1.3252171
ASAH1,1.3141356
MATR3,1.3100051
PSMA3,1.3057964
SKP1,1.3043091
GHITM,1.3003911
MORF4L1,1.2970557
CD164,1.2874554
C11orf58,1.2870314
TMEM33,1.286661
SDHD,1.2852799
TM9SF2,1.2810754
RAP1B,1.2807009
DLD,1.2743869
CAPZA2,1.2719865
MDH1,1.2699286
RAB1A,1.2690814
SF3B1,1.2639992
SUB1,1.2588611
SEPT7,1.256656
YME1L1,1.2563055
RAB18,1.2557987
NARS,1.2553543
CALM2,1.2552993
PSMC2,1.2489187
SRP9,1.2443773
COPB1,1.2432691
PAFAH1B2,1.2415837
EIF4E,1.2405852
DDX3X,1.2395073
PTGES3,1.2390227
TMCO1,1.2379209
SAR1A,1.2375646
CLTC,1.2366757
SAP18,1.2361939
SCAF11,1.2327273
ARF4,1.2305208
TCP1,1.2289633
XRCC5,1.2282389
PPP2CA,1.227821
PSMC6,1.2272797
CCT8,1.2265769
TIMM17A,1.2259784
HNRNPH1,1.2258177
HSBP1,1.2246041
SBNO1,1.2206938
DNAJA1,1.2205954
HSPA9,1.2204623
HSP90B1,1.2188543
WSB1,1.217344
PSMB1,1.2170728
EIF4G2,1.2160677
UBE2D3,1.2156622
PSMA2,1.2153718
STRAP,1.2146932
PGAM1,1.2142589
PLEKHB2,1.2119157
RAB10,1.2118192
SET,1.2110109
PRKAR1A,1.2101872
SRSF6,1.2096969
RAB7A,1.2083771
SRP54,1.2079322
RBM39,1.2064075
TOR1AIP2,1.2054846
VPS29,1.2047453
PAPOLA,1.2047114
SEPT2,1.2047106
SON,1.2023971
DNAJC3,1.2015505
PRR13,1.2004455
COX7B,1.1997579
LAPTM4A,1.199196
SRSF10,1.1989202
ATP6V0E1,1.1974466
MMADHC,1.1974411
EIF2S1,1.197301
RAN,1.1963295
CTNNB1,1.1960949
PSMA1,1.1951903
COQ10B,1.1940521
SERINC3,1.1935058
CTSB,1.1893834
CANX,1.1889483
PARK7,1.188903
CHMP1B,1.1888797
SDCBP,1.1886159
KIF5B,1.1881152
SUMO1,1.1877546
THRAP3,1.1877257
LAMTOR5,1.1853698
HSPA5,1.184943
HNRNPA2B1,1.1848706
POMP,1.1845231
VPS35,1.1843885
