cellid	pop
cell_2	1
cell_3	1
cell_12	1
cell_13	1
cell_14	1
cell_20	1
cell_21	1
cell_22	1
cell_23	1
cell_31	1
cell_33	1
cell_36	1
cell_37	1
cell_40	1
cell_41	1
cell_43	1
cell_46	1
cell_48	1
cell_49	1
cell_51	1
cell_52	1
cell_55	1
cell_56	1
cell_57	1
cell_58	1
cell_59	1
cell_64	1
cell_65	1
cell_67	1
cell_68	1
cell_72	1
cell_73	1
cell_78	1
cell_85	1
cell_90	1
cell_92	1
cell_94	1
cell_95	1
cell_96	1
cell_98	1
cell_100	1
cell_101	1
cell_104	1
cell_105	1
cell_107	1
cell_109	1
cell_112	1
cell_113	1
cell_115	1
cell_117	1
cell_118	1
cell_120	1
cell_121	1
cell_124	1
cell_126	1
cell_128	1
cell_130	1
cell_131	1
cell_132	1
cell_135	1
cell_140	1
cell_142	1
cell_144	1
cell_145	1
cell_146	1
cell_151	1
cell_154	1
cell_156	1
cell_158	1
cell_161	1
cell_162	1
cell_165	1
cell_167	1
cell_168	1
cell_171	1
cell_172	1
cell_177	1
cell_181	1
cell_184	1
cell_188	1
cell_189	1
cell_192	1
cell_193	1
cell_195	1
cell_198	1
cell_201	1
cell_207	1
cell_208	1
cell_211	1
cell_213	1
cell_215	1
cell_216	1
cell_217	1
cell_218	1
cell_220	1
cell_222	1
cell_224	1
cell_225	1
cell_226	1
cell_227	1
cell_229	1
cell_232	1
cell_235	1
cell_236	1
cell_238	1
cell_240	1
cell_241	1
cell_242	1
cell_244	1
cell_245	1
cell_248	1
cell_250	1
cell_253	1
cell_254	1
cell_257	1
cell_258	1
cell_260	1
cell_261	1
cell_263	1
cell_264	1
cell_265	1
cell_266	1
cell_267	1
cell_271	1
cell_275	1
cell_276	1
cell_279	1
cell_283	1
cell_286	1
cell_290	1
cell_292	1
cell_296	1
cell_298	1
cell_299	1
cell_300	1
cell_304	1
cell_305	1
cell_306	1
cell_308	1
cell_309	1
cell_312	1
cell_313	1
cell_315	1
cell_316	1
cell_318	1
cell_320	1
cell_323	1
cell_324	1
cell_326	1
cell_329	1
cell_331	1
cell_332	1
cell_333	1
cell_334	1
cell_335	1
cell_337	1
cell_339	1
cell_342	1
cell_343	1
cell_344	1
cell_347	1
cell_348	1
cell_349	1
cell_351	1
cell_352	1
cell_353	1
cell_360	1
cell_363	1
cell_367	1
cell_368	1
cell_372	1
cell_375	1
cell_376	1
cell_377	1
cell_378	1
cell_379	1
cell_380	1
cell_382	1
cell_385	1
cell_388	1
cell_389	1
cell_390	1
cell_391	1
cell_393	1
cell_397	1
cell_400	1
cell_402	1
cell_404	1
cell_406	1
cell_408	1
cell_409	1
cell_410	1
cell_412	1
cell_416	1
cell_417	1
cell_418	1
cell_422	1
cell_423	1
cell_425	1
cell_429	1
cell_430	1
cell_433	1
cell_435	1
cell_436	1
cell_437	1
cell_439	1
cell_440	1
cell_441	1
cell_445	1
cell_455	1
cell_457	1
cell_460	1
cell_462	1
cell_465	1
cell_466	1
cell_467	1
cell_470	1
cell_474	1
cell_478	1
cell_479	1
cell_482	1
cell_483	1
cell_484	1
cell_485	1
cell_487	1
cell_490	1
cell_491	1
cell_495	1
cell_498	1
cell_501	1
cell_504	1
cell_506	1
cell_508	1
cell_510	1
cell_511	1
cell_512	1
cell_513	1
cell_514	1
cell_515	1
cell_516	1
cell_518	1
cell_521	1
cell_522	1
cell_525	1
cell_526	1
cell_527	1
cell_529	1
cell_530	1
cell_532	1
cell_533	1
cell_534	1
cell_536	1
cell_539	1
cell_541	1
cell_543	1
cell_544	1
cell_546	1
cell_547	1
cell_548	1
cell_552	1
cell_553	1
cell_557	1
cell_558	1
cell_564	1
cell_565	1
cell_566	1
cell_568	1
cell_569	1
cell_570	1
cell_571	1
cell_573	1
cell_575	1
cell_576	1
cell_581	1
cell_582	1
cell_584	1
cell_586	1
cell_587	1
cell_588	1
cell_592	1
cell_593	1
cell_594	1
cell_597	1
cell_599	1
cell_602	1
cell_603	1
cell_604	1
cell_606	1
cell_607	1
cell_608	1
cell_613	1
cell_614	1
cell_615	1
cell_616	1
cell_617	1
cell_622	1
cell_628	1
cell_629	1
cell_630	1
cell_632	1
cell_633	1
cell_635	1
cell_638	1
cell_640	1
cell_645	1
cell_646	1
cell_647	1
cell_648	1
cell_652	1
cell_655	1
cell_656	1
cell_658	1
cell_659	1
cell_660	1
cell_667	1
cell_668	1
cell_673	1
cell_676	1
cell_677	1
cell_678	1
cell_681	1
cell_682	1
cell_684	1
cell_686	1
cell_688	1
cell_690	1
cell_691	1
cell_693	1
cell_694	1
cell_695	1
cell_697	1
cell_699	1
cell_704	1
cell_707	1
cell_712	1
cell_719	1
cell_720	1
cell_723	1
cell_727	2
cell_728	2
cell_732	2
cell_736	2
cell_737	2
cell_739	2
cell_741	2
cell_743	2
cell_746	2
cell_747	2
cell_749	2
cell_752	2
cell_754	2
cell_756	2
cell_758	2
cell_759	2
cell_760	2
cell_762	2
cell_763	2
cell_767	2
cell_768	2
cell_774	2
cell_777	2
cell_779	2
cell_783	2
cell_784	2
cell_785	2
cell_786	2
cell_789	2
cell_791	2
cell_792	2
cell_793	2
cell_795	2
cell_796	2
cell_798	2
cell_799	2
cell_803	2
cell_805	2
cell_807	2
cell_810	2
cell_811	2
cell_812	2
cell_814	2
cell_815	2
cell_816	2
cell_818	2
cell_824	2
cell_825	2
cell_826	3
cell_827	3
cell_828	3
cell_830	3
cell_831	3
cell_836	3
cell_837	3
cell_838	3
cell_839	3
cell_842	3
cell_843	3
cell_845	3
cell_848	3
cell_849	3
cell_850	3
cell_851	3
cell_853	3
cell_855	3
cell_857	3
cell_858	3
cell_861	3
cell_862	3
cell_863	3
cell_866	3
cell_868	3
cell_870	3
cell_871	3
cell_873	3
cell_874	3
cell_875	3
cell_879	3
cell_880	3
cell_881	3
cell_883	3
cell_884	3
cell_885	3
cell_886	3
cell_887	3
cell_888	3
cell_891	3
cell_893	3
cell_896	3
cell_898	3
cell_900	3
cell_902	3
cell_905	3
cell_906	3
cell_908	3
cell_909	3
cell_910	3
cell_915	3
cell_916	3
cell_917	3
cell_920	3
cell_923	3
cell_925	3
cell_927	3
cell_928	3
cell_929	3
cell_930	3
cell_932	3
cell_941	3
cell_942	3
cell_943	3
cell_944	3
cell_945	3
cell_950	3
cell_951	3
cell_952	3
cell_955	3
cell_956	3
cell_958	3
cell_960	3
cell_961	3
cell_963	3
cell_967	3
cell_968	3
cell_970	3
cell_971	3
cell_972	3
cell_973	3
cell_975	3
cell_977	3
cell_978	3
cell_979	3
cell_981	3
cell_986	3
cell_988	3
cell_989	3
cell_990	3
cell_992	3
cell_994	3
cell_996	3
cell_997	3
cell_999	3
cell_1000	3
cell_1001	3
cell_1003	3
cell_1004	3
cell_1005	3
cell_1006	3
cell_1007	3
cell_1009	3
cell_1010	3
cell_1016	3
cell_1017	3
cell_1018	3
cell_1019	3
cell_1022	3
cell_1023	3
cell_1024	3
cell_1029	3
cell_1030	3
cell_1033	3
cell_1034	3
cell_1036	3
cell_1037	3
cell_1038	3
cell_1039	3
cell_1040	3
cell_1042	3
cell_1043	3
cell_1044	3
cell_1045	3
cell_1046	3
cell_1048	3
cell_1053	3
cell_1054	3
cell_1059	3
cell_1065	3
cell_1067	3
cell_1070	3
cell_1071	3
cell_1072	3
cell_1073	3
cell_1077	3
cell_1078	3
cell_1079	3
cell_1080	3
cell_1082	3
cell_1083	3
cell_1084	3
cell_1086	3
cell_1091	3
cell_1092	3
cell_1093	3
cell_1098	3
cell_1099	3
cell_1100	3
cell_1101	3
cell_1102	3
cell_1104	3
cell_1109	3
cell_1110	3
cell_1115	3
cell_1116	3
cell_1120	3
cell_1121	3
cell_1123	3
cell_1131	3
cell_1133	3
cell_1134	3
cell_1135	3
cell_1138	3
cell_1140	3
cell_1143	3
cell_1147	3
cell_1150	3
cell_1152	3
cell_1153	3
cell_1155	3
cell_1156	3
cell_1157	3
cell_1158	3
cell_1159	3
cell_1160	3
cell_1161	3
cell_1164	3
cell_1165	3
cell_1166	3
cell_1171	3
cell_1173	3
cell_1174	3
cell_1178	3
cell_1179	3
cell_1182	3
cell_1183	3
cell_1186	3
cell_1187	3
cell_1189	3
cell_1190	3
cell_1191	3
cell_1192	3
cell_1195	3
cell_1197	3
cell_1198	3
cell_1200	3
cell_1203	3
cell_1204	3
cell_1205	3
cell_1212	3
cell_1213	3
cell_1215	3
cell_1216	3
cell_1217	3
cell_1218	3
cell_1220	3
cell_1222	3
cell_1223	3
cell_1225	3
cell_1226	3
cell_1228	3
cell_1229	3
cell_1230	3
cell_1233	3
cell_1234	3
cell_1235	3
cell_1236	3
cell_1237	3
cell_1239	3
cell_1240	3
cell_1241	3
cell_1243	3
cell_1245	3
cell_1247	3
cell_1248	3
cell_1249	3
cell_1250	3
cell_1253	3
cell_1255	3
cell_1257	3
cell_1258	3
cell_1260	3
cell_1261	3
cell_1265	3
cell_1266	3
cell_1268	3
cell_1270	3
cell_1272	3
cell_1278	3
cell_1279	3
cell_1281	3
cell_1289	3
cell_1292	3
cell_1293	3
cell_1295	3
cell_1297	3
cell_1298	3
cell_1299	3
cell_1300	3
cell_1308	3
cell_1309	3
cell_1311	3
cell_1312	3
cell_1314	3
cell_1315	3
cell_1318	3
cell_1324	3
cell_1326	3
cell_1328	3
cell_1329	3
cell_1333	3
cell_1337	3
cell_1338	3
cell_1343	3
cell_1346	3
cell_1348	3
cell_1350	3
cell_1351	3
cell_1352	3
cell_1354	3
cell_1357	3
cell_1364	3
cell_1367	3
cell_1368	3
cell_1370	3
cell_1372	3
cell_1373	3
cell_1376	3
cell_1378	3
cell_1380	3
cell_1382	3
cell_1383	3
cell_1384	3
cell_1385	3
cell_1389	3
cell_1390	3
cell_1391	3
cell_1395	3
cell_1396	3
cell_1397	3
cell_1399	3
cell_1401	3
cell_1402	3
cell_1404	3
cell_1409	3
cell_1410	3
cell_1411	3
cell_1412	3
cell_1420	3
cell_1422	3
cell_1424	3
cell_1425	3
cell_1426	3
cell_1427	3
cell_1428	3
cell_1429	3
cell_1431	3
cell_1434	3
cell_1435	3
cell_1437	3
cell_1440	3
cell_1441	3
cell_1442	3
cell_1446	3
cell_1447	3
cell_1452	3
cell_1454	3
cell_1455	3
cell_1456	3
cell_1457	3
cell_1458	3
cell_1462	3
cell_1463	3
cell_1464	3
cell_1468	3
cell_1470	3
cell_1471	3
cell_1473	3
cell_1474	3
cell_1475	3
cell_1477	3
cell_1478	3
cell_1479	3
cell_1480	3
cell_1481	3
cell_1483	3
cell_1486	3
cell_1487	3
cell_1488	3
cell_1489	3
cell_1490	3
cell_1492	3
cell_1495	3
cell_1496	3
cell_1497	3
cell_1499	3
cell_1501	3
cell_1503	3
cell_1506	3
cell_1507	3
cell_1510	3
cell_1514	3
cell_1515	3
cell_1516	3
cell_1518	3
cell_1519	3
cell_1520	3
cell_1525	3
cell_1526	3
cell_1527	3
cell_1529	3
cell_1530	3
cell_1531	3
cell_1536	3
cell_1537	3
cell_1538	3
cell_1539	3
cell_1542	3
cell_1543	3
cell_1544	3
cell_1546	3
cell_1549	3
cell_1550	3
cell_1553	4
cell_1556	4
cell_1558	4
cell_1559	4
cell_1561	4
cell_1562	4
cell_1564	4
cell_1565	4
cell_1572	4
cell_1574	4
cell_1575	4
cell_1578	4
cell_1579	4
cell_1581	4
cell_1582	4
cell_1583	4
cell_1585	4
cell_1586	4
cell_1587	4
