cellid	pop
cell_1	1
cell_3	1
cell_4	1
cell_6	1
cell_7	1
cell_8	1
cell_9	1
cell_12	1
cell_13	1
cell_14	1
cell_16	1
cell_17	1
cell_20	1
cell_24	1
cell_27	1
cell_29	1
cell_30	1
cell_36	1
cell_39	1
cell_42	1
cell_44	1
cell_46	1
cell_47	1
cell_49	1
cell_51	1
cell_52	1
cell_53	1
cell_55	1
cell_56	1
cell_57	1
cell_59	1
cell_60	1
cell_64	1
cell_65	1
cell_67	1
cell_70	1
cell_71	1
cell_73	1
cell_74	1
cell_76	1
cell_77	1
cell_78	1
cell_81	1
cell_83	1
cell_85	1
cell_89	1
cell_91	1
cell_93	1
cell_95	1
cell_97	1
cell_99	1
cell_100	1
cell_102	1
cell_103	1
cell_107	1
cell_109	1
cell_111	1
cell_113	1
cell_114	1
cell_115	1
cell_116	1
cell_120	1
cell_121	1
cell_122	1
cell_125	1
cell_126	1
cell_129	1
cell_131	1
cell_134	1
cell_135	1
cell_136	1
cell_137	1
cell_142	1
cell_143	1
cell_145	1
cell_147	1
cell_148	1
cell_149	1
cell_151	1
cell_153	1
cell_156	1
cell_159	1
cell_161	1
cell_167	1
cell_174	1
cell_176	1
cell_177	1
cell_181	1
cell_182	1
cell_183	1
cell_185	1
cell_187	1
cell_190	1
cell_196	1
cell_197	1
cell_198	1
cell_201	1
cell_206	1
cell_207	1
cell_208	1
cell_215	1
cell_217	1
cell_226	1
cell_227	1
cell_231	1
cell_232	1
cell_234	1
cell_235	1
cell_236	1
cell_237	1
cell_238	1
cell_239	1
cell_242	1
cell_243	1
cell_247	1
cell_250	1
cell_251	1
cell_252	1
cell_255	1
cell_258	1
cell_261	1
cell_263	1
cell_265	1
cell_266	1
cell_268	1
cell_271	1
cell_274	1
cell_278	1
cell_282	1
cell_283	1
cell_288	1
cell_289	1
cell_291	1
cell_294	1
cell_296	1
cell_299	1
cell_302	1
cell_305	1
cell_307	1
cell_314	1
cell_317	1
cell_319	1
cell_321	1
cell_322	1
cell_323	1
cell_324	1
cell_326	1
cell_327	1
cell_328	1
cell_329	1
cell_332	1
cell_333	1
cell_335	1
cell_341	1
cell_342	1
cell_343	1
cell_344	1
cell_345	1
cell_347	1
cell_349	1
cell_350	1
cell_353	1
cell_354	1
cell_355	1
cell_357	1
cell_359	1
cell_361	1
cell_363	1
cell_369	1
cell_372	1
cell_374	1
cell_375	1
cell_376	1
cell_378	1
cell_379	1
cell_382	1
cell_385	1
cell_387	1
cell_388	1
cell_389	1
cell_390	1
cell_393	1
cell_394	1
cell_399	1
cell_401	1
cell_402	1
cell_404	1
cell_408	1
cell_411	1
cell_413	1
cell_414	1
cell_415	1
cell_416	1
cell_420	1
cell_421	1
cell_422	1
cell_426	1
cell_429	1
cell_430	1
cell_431	1
cell_433	1
cell_434	1
cell_440	1
cell_441	1
cell_442	1
cell_447	1
cell_449	1
cell_450	1
cell_455	1
cell_456	1
cell_457	1
cell_459	1
cell_460	1
cell_462	1
cell_464	1
cell_467	1
cell_473	1
cell_475	1
cell_477	1
cell_479	1
cell_480	1
cell_482	1
cell_483	1
cell_484	1
cell_487	1
cell_490	1
cell_493	1
cell_494	1
cell_495	1
cell_496	1
cell_497	1
cell_498	1
cell_499	1
cell_501	1
cell_503	1
cell_504	1
cell_505	1
cell_507	1
cell_508	1
cell_509	1
cell_510	1
cell_511	1
cell_512	1
cell_513	1
cell_516	1
cell_517	1
cell_521	1
cell_522	1
cell_524	1
cell_525	1
cell_526	1
cell_531	1
cell_532	1
cell_536	1
cell_537	1
cell_539	1
cell_542	1
cell_543	1
cell_544	1
cell_545	1
cell_552	1
cell_553	1
cell_554	1
cell_556	1
cell_557	1
cell_558	1
cell_560	1
cell_561	1
cell_563	1
cell_566	1
cell_567	1
cell_572	1
cell_576	1
cell_580	1
cell_582	1
cell_584	1
cell_586	1
cell_587	1
cell_591	1
cell_592	1
cell_596	1
cell_599	1
cell_602	1
cell_605	1
cell_606	1
cell_610	1
cell_611	1
cell_612	1
cell_614	1
cell_621	1
cell_624	1
cell_628	1
cell_630	1
cell_631	1
cell_632	1
cell_633	1
cell_634	1
cell_635	1
cell_637	1
cell_638	1
cell_639	1
cell_645	1
cell_646	1
cell_648	1
cell_650	1
cell_651	1
cell_657	1
cell_658	1
cell_661	1
cell_662	1
cell_668	1
cell_669	1
cell_670	1
cell_672	1
cell_673	1
cell_676	1
cell_677	1
cell_681	1
cell_685	1
cell_687	1
cell_689	1
cell_690	1
cell_692	1
cell_693	1
cell_694	1
cell_695	1
cell_696	1
cell_698	1
cell_701	1
cell_702	1
cell_706	1
cell_707	1
cell_708	1
cell_712	1
cell_713	1
cell_715	1
cell_716	1
cell_721	1
cell_722	1
cell_724	1
cell_725	1
cell_727	1
cell_731	1
cell_733	1
cell_734	1
cell_735	1
cell_736	1
cell_737	1
cell_738	1
cell_739	1
cell_741	1
cell_742	1
cell_743	1
cell_745	1
cell_746	1
cell_750	1
cell_751	1
cell_752	1
cell_754	1
cell_757	1
cell_760	1
cell_761	1
cell_764	1
cell_770	1
cell_772	1
cell_773	1
cell_775	1
cell_776	1
cell_777	1
cell_778	1
cell_783	1
cell_785	1
cell_787	1
cell_788	1
cell_792	1
cell_794	1
cell_795	1
cell_796	1
cell_798	1
cell_800	1
cell_801	1
cell_803	1
cell_804	1
cell_805	1
cell_810	1
cell_811	1
cell_812	1
cell_813	1
cell_816	1
cell_823	1
cell_825	1
cell_826	1
cell_827	1
cell_832	1
cell_833	1
cell_841	1
cell_842	1
cell_843	1
cell_844	1
cell_845	1
cell_846	1
cell_847	1
cell_848	1
cell_849	1
cell_850	1
cell_851	1
cell_853	1
cell_854	1
cell_860	1
cell_863	1
cell_864	1
cell_866	1
cell_868	1
cell_870	1
cell_871	1
cell_872	1
cell_874	1
cell_875	1
cell_877	1
cell_879	1
cell_881	1
cell_885	1
cell_888	1
cell_889	1
cell_890	1
cell_895	1
cell_898	1
cell_899	1
cell_900	1
cell_902	1
cell_906	1
cell_907	1
cell_909	1
cell_910	1
cell_911	1
cell_914	1
cell_917	1
cell_918	1
cell_922	1
cell_924	1
cell_926	1
cell_932	1
cell_935	1
cell_936	1
cell_937	1
cell_938	1
cell_939	1
cell_941	1
cell_943	1
cell_944	1
cell_945	1
cell_948	1
cell_952	1
cell_953	1
cell_954	1
cell_956	1
cell_960	1
cell_962	1
cell_963	1
cell_965	1
cell_967	1
cell_968	1
cell_969	1
cell_970	1
cell_971	1
cell_973	1
cell_974	1
cell_976	1
cell_979	1
cell_980	1
cell_982	1
cell_983	1
cell_985	1
cell_988	1
cell_994	1
cell_995	1
cell_1001	1
cell_1002	1
cell_1005	1
cell_1007	1
cell_1008	1
cell_1010	1
cell_1015	1
cell_1018	1
cell_1020	1
cell_1022	1
cell_1023	1
cell_1024	1
cell_1025	1
cell_1026	1
cell_1032	1
cell_1035	1
cell_1037	1
cell_1038	1
cell_1039	1
cell_1040	1
cell_1043	1
cell_1045	1
cell_1048	1
cell_1050	1
cell_1054	1
cell_1055	1
cell_1059	1
cell_1063	1
cell_1065	1
cell_1067	1
cell_1069	1
cell_1071	1
cell_1075	1
cell_1076	1
cell_1078	1
cell_1081	1
cell_1086	1
cell_1090	1
cell_1091	1
cell_1093	1
cell_1094	1
cell_1095	1
cell_1096	1
cell_1098	1
cell_1099	1
cell_1100	1
cell_1101	1
cell_1103	1
cell_1104	1
cell_1106	1
cell_1110	1
cell_1111	1
cell_1114	1
cell_1118	1
cell_1120	1
cell_1121	1
cell_1122	1
cell_1124	1
cell_1125	1
cell_1129	1
cell_1131	1
cell_1135	1
cell_1136	1
cell_1137	1
cell_1138	1
cell_1139	1
cell_1140	1
cell_1143	1
cell_1144	1
cell_1145	1
cell_1146	1
cell_1150	1
cell_1152	1
cell_1153	1
cell_1154	1
cell_1159	1
cell_1161	1
cell_1166	1
cell_1167	1
cell_1170	1
cell_1171	1
cell_1174	1
cell_1175	1
cell_1181	1
cell_1182	1
cell_1183	1
cell_1184	1
cell_1185	1
cell_1189	1
cell_1190	1
cell_1191	1
cell_1192	1
cell_1193	1
cell_1199	1
cell_1205	1
cell_1207	1
cell_1208	1
cell_1209	1
cell_1210	1
cell_1211	1
cell_1212	1
cell_1213	1
cell_1215	1
cell_1216	1
cell_1218	1
cell_1219	1
cell_1220	1
cell_1222	1
cell_1223	1
cell_1224	1
cell_1225	1
cell_1230	1
cell_1233	1
cell_1234	1
cell_1238	1
cell_1239	1
cell_1242	1
cell_1243	1
cell_1246	1
cell_1248	1
cell_1249	1
cell_1254	1
cell_1256	1
cell_1257	1
cell_1258	1
cell_1259	1
cell_1260	1
cell_1264	1
cell_1265	1
cell_1268	1
cell_1269	1
cell_1270	1
cell_1272	1
cell_1273	1
cell_1282	1
cell_1283	1
cell_1285	1
cell_1286	1
cell_1287	1
cell_1289	1
cell_1290	1
cell_1292	1
cell_1294	1
cell_1299	1
cell_1301	1
cell_1304	1
cell_1305	1
cell_1309	1
cell_1310	1
cell_1311	1
cell_1312	1
cell_1314	1
cell_1315	1
cell_1316	1
cell_1317	1
cell_1319	1
cell_1321	1
cell_1323	1
cell_1325	1
cell_1327	1
cell_1330	1
cell_1331	1
cell_1337	1
cell_1339	1
cell_1340	1
cell_1342	1
cell_1343	1
cell_1345	1
cell_1347	1
cell_1348	1
cell_1353	1
cell_1354	1
cell_1355	1
cell_1356	1
cell_1359	1
cell_1361	1
cell_1363	1
cell_1365	1
cell_1367	1
cell_1368	1
cell_1371	1
cell_1376	1
cell_1378	1
cell_1381	1
cell_1383	1
cell_1384	1
cell_1385	1
cell_1386	1
cell_1388	1
cell_1389	1
cell_1390	1
cell_1394	1
cell_1395	1
cell_1397	1
cell_1398	1
cell_1399	1
cell_1400	1
cell_1401	1
cell_1403	1
cell_1404	1
cell_1405	1
cell_1406	1
cell_1410	1
cell_1412	1
cell_1413	1
cell_1414	1
cell_1415	1
cell_1416	1
cell_1417	1
cell_1418	1
cell_1422	1
cell_1423	1
cell_1426	1
cell_1428	1
