,score
chr1_66369407_66376594,14.749182153124707
chr6_148757882_148762088,14.501687380989324
chr9_37032633_37038542,14.423655867113439
chr1_21292450_21295510,14.070721486414186
chr11_111416304_111418888,14.047854499414143
chr7_20219351_20221584,13.916672162524037
chr11_95715096_95716753,13.85891565239774
chr11_44608602_44612729,13.8453843060895
chr7_55531534_55538976,13.826452750057115
chr9_123337846_123341011,13.781981988732127
chr19_5130078_5132332,13.778003504815047
chr1_93692231_93693976,13.77212188483827
chr3_114212955_114216586,13.598750592942565
chr3_119637638_119640091,13.550959862131435
chr6_289007_293986,13.428652303679087
chr20_47414698_47417181,13.309921075457169
chr7_35728851_35731160,13.231578406174094
chr1_111505325_111509008,13.206674231885472
chr20_44585054_44586808,13.169932453457932
chr10_62043157_62051971,13.122574209093273
chr4_42626878_42628974,13.119482224543844
chr14_65204977_65208877,13.104305081396319
chr13_30370792_30372819,13.060004574916775
chr5_10630659_10636719,13.017843017242626
chr2_45728315_45730452,12.926983681391107
chr4_140789637_140791420,12.90030063751044
chr3_194133379_194138217,12.748803179349693
chr1_159076252_159078152,12.6757570013217
chr19_18172838_18174818,12.666336233207176
chr11_9757563_9760602,12.651360656141037
chr1_66330085_66337800,12.637542616328687
chr1_66395210_66397773,12.60978618414083
chr6_14116976_14126663,12.592531736183673
chr12_116558433_116560374,12.589467148965696
chr1_92783938_92785886,12.571951447883635
chr8_127992252_127994080,12.565390765477332
chr11_128609808_128612088,12.554339856141496
chr3_196638791_196643997,12.5122184159884
chr7_20199203_20201884,12.507051083581587
chr2_64211440_64215476,12.492167483271032
chr18_13610670_13617211,12.467134150134143
chr7_131102101_131111709,12.46564295252233
chr7_2978012_2981160,12.45094819810356
chr10_12121725_12123433,12.42545791661712
chr18_13566632_13570437,12.422770042706588
chr2_161135366_161140086,12.42018295183675
chr8_125605879_125608764,12.412103674487184
chr3_15360556_15363123,12.383576203114217
chr14_68684963_68686489,12.357172024928673
chr6_109454017_109459679,12.329487021497812
chr10_22251102_22254285,12.2948519021636
chr9_3475129_3480431,12.27799275856023
chr2_162316538_162320124,12.251125761168396
chr12_26155744_26157040,12.222340950575017
chr15_41928913_41929776,12.16712652141689
chr13_50593753_50595273,12.121644015780475
chr2_37376000_37377683,12.11412736220177
chr19_50328591_50331916,12.106168437415363
chr3_66472060_66474142,12.086086193462052
chr22_50189813_50193319,12.086002044515453
chr3_71086801_71088523,12.037099764828326
chr5_115168963_115171070,12.029109528805975
chr1_206904884_206906677,12.009211238363832
chr2_100234841_100235790,12.004903986469344
chr3_16507937_16517383,12.000743505993341
chr8_102978275_102980195,11.993856012561878
chr6_16711484_16714510,11.952473321881826
chr7_87215997_87221299,11.952270777324316
chr22_39096925_39100627,11.944694436702093
chr2_100394073_100395735,11.916312758271488
chr10_61937480_61945192,11.901931116212154
chr14_73752333_73763345,11.884360620467191
chr7_55565596_55574682,11.87407879336422
chr7_101856068_101857785,11.87102888328809
chrX_1500634_1502954,11.852906527009623
chr18_13561949_13563834,11.83343778758558
chr7_92133190_92135594,11.833148158653103
chr2_161159742_161161819,11.832516063077492
chr14_75514151_75516147,11.814037541490165
chr7_6373143_6376450,11.793439640619908
chr7_130924037_130962114,11.758820176903669
chr4_102759529_102761950,11.72679171796176
chr1_66281672_66284294,11.722900318419647
chr8_22439929_22444973,11.713171330326304
chr1_178724362_178728040,11.710668388403064
